Number of data: 20000
Number of incorrect classifications: 8717
Test Sample Error Rate: 0.435828
Battacharyya bound: 0.373529
Chernoff bound: 0.3
         beta*: 0.999998
1.43882, 0.54064, ONE, ONE, o
0.57663, 2.80468, ONE, TWO, X
1.51404, -0.973549, ONE, ONE, o
0.778699, 0.855737, ONE, ONE, o
-0.683891, -0.27017, ONE, ONE, o
0.462294, -0.787467, ONE, ONE, o
-0.21776, 0.931489, ONE, ONE, o
0.252649, 1.53683, ONE, ONE, o
1.48325, 1.16299, ONE, ONE, o
1.5297, 0.933067, ONE, ONE, o
0.735787, 1.19328, ONE, ONE, o
-0.020975, 1.48887, ONE, ONE, o
-0.266463, 0.736584, ONE, ONE, o
0.436271, -0.538871, ONE, ONE, o
1.04, 0.671238, ONE, ONE, o
0.981931, 1.19443, ONE, ONE, o
2.16298, 1.65621, ONE, TWO, X
2.56874, 1.84065, ONE, TWO, X
-0.020964, 2.66832, ONE, ONE, o
2.52128, 2.40974, ONE, TWO, X
-0.178904, 0.403166, ONE, ONE, o
2.78642, 2.60896, ONE, TWO, X
0.02146, 1.33324, ONE, ONE, o
2.35445, 0.860682, ONE, TWO, X
0.618383, 0.079052, ONE, ONE, o
1.52306, -1.69387, ONE, ONE, o
2.37806, 0.95715, ONE, TWO, X
1.55687, 2.54974, ONE, TWO, X
1.44583, 1.65416, ONE, TWO, X
1.86787, 1.98543, ONE, TWO, X
-0.048631, -0.052125, ONE, ONE, o
0.363271, 1.08158, ONE, ONE, o
-0.798091, -0.25219, ONE, ONE, o
0.517481, 1.60888, ONE, ONE, o
0.875848, 2.58071, ONE, TWO, X
-0.22343, 1.12036, ONE, ONE, o
2.31958, 0.390675, ONE, ONE, o
0.60699, 1.78702, ONE, ONE, o
0.896453, 1.30438, ONE, ONE, o
1.91161, 0.79138, ONE, ONE, o
1.04219, 1.49994, ONE, ONE, o
-2.22988, 1.32118, ONE, ONE, o
1.73603, 2.27401, ONE, TWO, X
1.96575, 1.31046, ONE, TWO, X
0.299452, -0.049215, ONE, ONE, o
1.12698, 1.21989, ONE, ONE, o
0.367976, 0.943181, ONE, ONE, o
1.04826, -0.677348, ONE, ONE, o
1.66279, 2.63184, ONE, TWO, X
1.99319, 0.85327, ONE, ONE, o
0.906526, 1.37811, ONE, ONE, o
0.230671, 1.16811, ONE, ONE, o
3.42444, 0.697279, ONE, TWO, X
2.08808, 0.480015, ONE, ONE, o
-0.07259, 0.65187, ONE, ONE, o
-0.73446, 1.11048, ONE, ONE, o
-1.14066, 2.45046, ONE, ONE, o
-1.63861, -0.374518, ONE, ONE, o
0.952605, 0.533528, ONE, ONE, o
1.63248, 0.003964, ONE, ONE, o
2.15943, 1.23941, ONE, TWO, X
-0.121265, 1.9445, ONE, ONE, o
1.78102, 1.74053, ONE, TWO, X
2.27376, 0.902105, ONE, TWO, X
0.377871, 1.10184, ONE, ONE, o
1.71227, 1.80398, ONE, TWO, X
1.24814, -0.561704, ONE, ONE, o
0.418979, 1.48148, ONE, ONE, o
0.834181, -0.683803, ONE, ONE, o
0.977524, 1.01224, ONE, ONE, o
1.39116, -1.40423, ONE, ONE, o
0.397085, 1.46135, ONE, ONE, o
2.3827, 0.490422, ONE, ONE, o
0.971381, 0.065616, ONE, ONE, o
2.39356, 1.73046, ONE, TWO, X
1.25018, 1.62406, ONE, ONE, o
0.98438, 0.415861, ONE, ONE, o
1.54823, 0.002832, ONE, ONE, o
2.50133, 0.968394, ONE, TWO, X
3.12222, 0.340779, ONE, TWO, X
0.694129, 0.414281, ONE, ONE, o
3.22753, 1.39901, ONE, TWO, X
1.27606, 1.45258, ONE, ONE, o
0.887574, 0.113523, ONE, ONE, o
0.395462, 1.77438, ONE, ONE, o
0.815962, 0.481617, ONE, ONE, o
2.2906, 0.513727, ONE, ONE, o
0.294236, 1.37179, ONE, ONE, o
0.565952, -0.242803, ONE, ONE, o
0.709234, 1.62364, ONE, ONE, o
-0.045969, 1.77861, ONE, ONE, o
0.548896, 1.31667, ONE, ONE, o
0.636324, 1.88939, ONE, ONE, o
-0.343793, 0.813418, ONE, ONE, o
2.54807, 2.17788, ONE, TWO, X
3.19212, 0.221317, ONE, TWO, X
2.13916, -0.535547, ONE, ONE, o
0.210076, 3.73628, ONE, TWO, X
1.75197, 1.67372, ONE, TWO, X
2.27804, 1.38015, ONE, TWO, X
0.238444, 1.29482, ONE, ONE, o
-0.566298, 2.15564, ONE, ONE, o
1.33912, 0.785429, ONE, ONE, o
1.55383, 0.979101, ONE, ONE, o
-0.185875, -0.733377, ONE, ONE, o
0.936202, 2.43481, ONE, TWO, X
1.35425, 1.59089, ONE, ONE, o
1.01878, 1.62216, ONE, ONE, o
0.046027, 1.77657, ONE, ONE, o
1.04562, 1.17448, ONE, ONE, o
1.52633, 0.15547, ONE, ONE, o
1.20883, 1.33685, ONE, ONE, o
1.17803, 1.93675, ONE, TWO, X
0.653792, 2.7096, ONE, TWO, X
-1.075, 1.85707, ONE, ONE, o
1.1171, 1.52591, ONE, ONE, o
2.45654, 0.861988, ONE, TWO, X
0.075918, 0.547596, ONE, ONE, o
1.81827, 1.59758, ONE, TWO, X
