Number of data: 20000
Number of incorrect classifications: 5296
Test Sample Error Rate: 0.264787
Battacharyya bound: 0.32373
Chernoff bound: 0.3198
         beta*: 0.425
-0.429121, 0.8745, ONE, ONE, o
3.0091, 1.10682, ONE, ONE, o
1.57001, 0.766362, ONE, ONE, o
0.330376, 2.34119, ONE, ONE, o
0.691987, 1.22906, ONE, ONE, o
2.31408, 1.88547, ONE, ONE, o
2.12894, 1.17067, ONE, ONE, o
2.20566, 0.149421, ONE, ONE, o
1.40782, 1.40379, ONE, ONE, o
0.375151, 0.902751, ONE, ONE, o
-0.257327, 1.46932, ONE, ONE, o
0.776307, 3.06665, ONE, ONE, o
0.60583, 1.69865, ONE, ONE, o
2.00465, -0.600799, ONE, ONE, o
2.16998, 1.8307, ONE, ONE, o
2.20394, 0.287321, ONE, ONE, o
-0.098857, -0.388958, ONE, ONE, o
0.017908, 0.890981, ONE, ONE, o
1.29161, 2.70839, ONE, ONE, o
0.100221, -0.270677, ONE, ONE, o
0.422246, 0.455778, ONE, ONE, o
1.73819, 2.43993, ONE, ONE, o
0.448037, 3.48915, ONE, TWO, X
1.4181, 3.07556, ONE, ONE, o
3.03628, 0.113965, ONE, ONE, o
-1.61939, 1.20101, ONE, ONE, o
0.025086, -0.619596, ONE, ONE, o
3.99274, 1.15521, ONE, TWO, X
1.38639, 2.01114, ONE, ONE, o
1.12174, 0.288853, ONE, ONE, o
0.482155, 1.47397, ONE, ONE, o
0.386876, 0.42775, ONE, ONE, o
0.004684, 3.0476, ONE, ONE, o
0.501858, 1.30311, ONE, ONE, o
0.194388, 2.09402, ONE, ONE, o
2.142, 1.12867, ONE, ONE, o
0.354943, 1.20281, ONE, ONE, o
1.42042, 0.28589, ONE, ONE, o
1.19361, 1.49142, ONE, ONE, o
2.67721, 1.04737, ONE, ONE, o
2.36008, -0.024666, ONE, ONE, o
0.46389, 0.14445, ONE, ONE, o
2.17004, -0.833945, ONE, ONE, o
3.58858, 1.14267, ONE, ONE, o
1.50195, 1.95984, ONE, ONE, o
2.33341, 0.055721, ONE, ONE, o
2.41612, 1.23542, ONE, ONE, o
-0.13582, 0.354826, ONE, ONE, o
2.50633, 1.90296, ONE, ONE, o
1.61192, 0.009546, ONE, ONE, o
0.28305, -0.096689, ONE, ONE, o
0.522562, 0.66205, ONE, ONE, o
-0.477094, -0.032921, ONE, ONE, o
1.10101, -0.175118, ONE, ONE, o
1.49685, -0.838449, ONE, ONE, o
2.21355, 0.84373, ONE, ONE, o
0.416516, 1.84612, ONE, ONE, o
0.934025, -0.842017, ONE, ONE, o
1.94371, 0.678334, ONE, ONE, o
1.88605, 1.35829, ONE, ONE, o
0.351308, 3.26374, ONE, ONE, o
0.410583, 2.25011, ONE, ONE, o
0.816605, 2.37885, ONE, ONE, o
-0.165553, 1.32723, ONE, ONE, o
-0.943873, 0.092994, ONE, ONE, o
0.223296, 0.370857, ONE, ONE, o
1.67383, 0.734894, ONE, ONE, o
1.41684, 0.109731, ONE, ONE, o
-0.501132, 2.4337, ONE, ONE, o
-0.560521, 0.821101, ONE, ONE, o
0.851279, 0.820321, ONE, ONE, o
2.26339, 1.31257, ONE, ONE, o
2.10882, 0.069668, ONE, ONE, o
0.09553, 0.199134, ONE, ONE, o
3.04022, 1.53753, ONE, ONE, o
0.307102, 0.81773, ONE, ONE, o
2.1294, -1.52142, ONE, ONE, o
0.816842, 2.61762, ONE, ONE, o
1.68543, 0.6392, ONE, ONE, o
0.631472, 0.60744, ONE, ONE, o
-0.278577, 0.232281, ONE, ONE, o
0.659818, 1.88281, ONE, ONE, o
1.65817, 2.11402, ONE, ONE, o
2.32471, 1.82759, ONE, ONE, o
1.02267, 0.744761, ONE, ONE, o
1.91632, 2.86013, ONE, ONE, o
-0.859472, 2.56061, ONE, ONE, o
-0.245485, -0.292332, ONE, ONE, o
2.68622, 1.49085, ONE, ONE, o
-0.279848, -0.160474, ONE, ONE, o
0.898922, 0.01615, ONE, ONE, o
2.08417, 2.50832, ONE, ONE, o
3.29909, 1.57792, ONE, ONE, o
1.95251, 0.231287, ONE, ONE, o
1.76714, 2.01299, ONE, ONE, o
0.513687, 0.13593, ONE, ONE, o
0.790984, 0.553293, ONE, ONE, o
1.91868, 1.55937, ONE, ONE, o
0.21044, -0.54104, ONE, ONE, o
2.33189, 1.07454, ONE, ONE, o
1.13227, 1.24193, ONE, ONE, o
1.84876, 1.44049, ONE, ONE, o
0.480475, 1.21696, ONE, ONE, o
0.956243, 1.91344, ONE, ONE, o
-0.417759, 0.463071, ONE, ONE, o
-0.090157, 0.833264, ONE, ONE, o
-1.22357, 0.379505, ONE, ONE, o
0.250362, -0.406213, ONE, ONE, o
0.819199, -0.864071, ONE, ONE, o
0.902949, 1.25266, ONE, ONE, o
1.59694, 0.241714, ONE, ONE, o
2.09384, 2.00045, ONE, ONE, o
1.87052, 2.09567, ONE, ONE, o
0.589069, 0.059167, ONE, ONE, o
1.59432, -0.361067, ONE, ONE, o
0.659885, 0.871544, ONE, ONE, o
-0.378261, 0.144924, ONE, ONE, o
0.584388, 2.5406, ONE, ONE, o
0.462974, 2.62025, ONE, ONE, o
-0.25745, 0.155836, ONE, ONE, o
0.418856, -0.5222, ONE, ONE, o
-0.040834, 0.413471, ONE, ONE, o
0.089469, 0.441938, ONE, ONE, o
1.16189, 1.31639, ONE, ONE, o
0.86752, 1.96416, ONE, ONE, o
2.51333, 3.05335, ONE, TWO, X
1.11201, -0.211233, ONE, ONE, o
1.52296, 0.280765, ONE, ONE, o
1.08464, 1.41508, ONE, ONE, o
2.05822, 0.181962, ONE, ONE, o
0.033783, 0.379568, ONE, ONE, o
0.703214, -0.270441, ONE, ONE, o
2.55417, 2.00178, ONE, ONE, o
-0.189062, 1.31376, ONE, ONE, o
0.409528, 0.193783, ONE, ONE, o
1.73469, 1.54732, ONE, ONE, o
3.07937, -0.83564, ONE, ONE, o
1.18738, 0.80602, ONE, ONE, o
0.190228, 1.07124, ONE, ONE, o
1.56383, 1.34691, ONE, ONE, o
-0.898304, 2.99691, ONE, TWO, X
2.69571, 1.15964, ONE, ONE, o
0.864398, 0.666574, ONE, ONE, o
1.14823, -0.194243, ONE, ONE, o
0.634233, 1.3644, ONE, ONE, o
0.836338, 2.52042, ONE, ONE, o
2.80588, 1.16569, ONE, ONE, o
1.69224, 2.2522, ONE, ONE, o
2.20818, 1.90779, ONE, ONE, o
-0.986149, 2.80535, ONE, TWO, X
0.141309, 1.44344, ONE, ONE, o
0.949366, 0.459593, ONE, ONE, o
1.0182, 1.43928, ONE, ONE, o
0.359742, 0.980591, ONE, ONE, o
-0.277226, 1.00015, ONE, ONE, o
1.15847, 3.17287, ONE, ONE, o
0.932013, 1.64529, ONE, ONE, o
-0.20142, 0.807302, ONE, ONE, o
1.78096, -0.045356, ONE, ONE, o
1.01085, 1.75833, ONE, ONE, o
0.807126, 1.67552, ONE, ONE, o
0.900197, 0.778748, ONE, ONE, o
-0.007081, 0.989795, ONE, ONE, o
1.33826, 0.309797, ONE, ONE, o
1.32555, 2.55595, ONE, ONE, o
-0.069264, 0.971043, ONE, ONE, o
1.61275, 1.63587, ONE, ONE, o
0.668884, 0.899535, ONE, ONE, o
2.00966, 0.540042, ONE, ONE, o
1.07697, 2.1181, ONE, ONE, o
0.335114, 2.01666, ONE, ONE, o
1.78991, 1.08694, ONE, ONE, o
0.28898, 0.555725, ONE, ONE, o
0.471263, -0.621435, ONE, ONE, o
1.54177, 1.31119, ONE, ONE, o
3.29632, 1.62337, ONE, ONE, o
1.08908, 2.36143, ONE, ONE, o
1.22652, 0.805137, ONE, ONE, o
1.40162, 0.235364, ONE, ONE, o
1.16172, 1.7951, ONE, ONE, o
0.106808, 1.51178, ONE, ONE, o
1.007, 1.35371, ONE, ONE, o
1.10551, 0.859581, ONE, ONE, o
0.211211, -2.50526, ONE, ONE, o
1.9834, 1.11198, ONE, ONE, o
1.02995, 0.81695, ONE, ONE, o
2.14126, 0.234673, ONE, ONE, o
0.251736, 1.13079, ONE, ONE, o
1.06623, 0.60046, ONE, ONE, o
0.884654, 0.750905, ONE, ONE, o
2.29055, -0.193767, ONE, ONE, o
