Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.01, 2583552, 2058532, 0.796784, 173474, 168918, 0.973737, 2410078, 1889614, 0.784047, 0.215953, 0.0262633
0.02, 2583552, 2204664, 0.853346, 173474, 166909, 0.962156, 2410078, 2037755, 0.845514, 0.154486, 0.0378443
0.03, 2583552, 2272870, 0.879746, 173474, 165214, 0.952385, 2410078, 2107656, 0.874518, 0.125482, 0.0476152
0.04, 2583552, 2310489, 0.894307, 173474, 163937, 0.945023, 2410078, 2146552, 0.890657, 0.109343, 0.0549765
0.05, 2583552, 2338943, 0.905321, 173474, 162609, 0.937368, 2410078, 2176334, 0.903014, 0.0969861, 0.0626319
0.06, 2583552, 2353979, 0.911141, 173474, 161725, 0.932272, 2410078, 2192254, 0.90962, 0.0903805, 0.0677277
0.07, 2583552, 2375480, 0.919463, 173474, 160258, 0.923816, 2410078, 2215222, 0.91915, 0.0808505, 0.0761843
0.08, 2583552, 2393630, 0.926488, 173474, 159008, 0.91661, 2410078, 2234622, 0.927199, 0.072801, 0.08339
0.09, 2583552, 2404978, 0.93088, 173474, 157862, 0.910004, 2410078, 2247116, 0.932383, 0.0676169, 0.0899962
0.1, 2583552, 2411629, 0.933455, 173474, 156604, 0.902752, 2410078, 2255025, 0.935665, 0.0643353, 0.097248
0.11, 2583552, 2419377, 0.936454, 173474, 155552, 0.896688, 2410078, 2263825, 0.939316, 0.0606839, 0.103312
0.12, 2583552, 2430295, 0.94068, 173474, 154254, 0.889205, 2410078, 2276041, 0.944385, 0.0556152, 0.110795
0.13, 2583552, 2436259, 0.942988, 173474, 152546, 0.879359, 2410078, 2283713, 0.947568, 0.0524319, 0.120641
0.14, 2583552, 2441301, 0.94494, 173474, 151440, 0.872984, 2410078, 2289861, 0.950119, 0.049881, 0.127016
0.15, 2583552, 2446014, 0.946764, 173474, 150193, 0.865795, 2410078, 2295821, 0.952592, 0.047408, 0.134205
0.16, 2583552, 2447871, 0.947483, 173474, 149080, 0.85938, 2410078, 2298791, 0.953824, 0.0461757, 0.14062
0.17, 2583552, 2449004, 0.947921, 173474, 147408, 0.849741, 2410078, 2301596, 0.954988, 0.0450118, 0.150259
0.18, 2583552, 2453752, 0.949759, 173474, 145767, 0.840282, 2410078, 2307985, 0.957639, 0.0423609, 0.159718
0.19, 2583552, 2455030, 0.950254, 173474, 145152, 0.836736, 2410078, 2309878, 0.958425, 0.0415754, 0.163264
0.2, 2583552, 2457125, 0.951065, 173474, 144058, 0.83043, 2410078, 2313067, 0.959748, 0.0402522, 0.16957
0.21, 2583552, 2457763, 0.951312, 173474, 142612, 0.822094, 2410078, 2315151, 0.960612, 0.0393875, 0.177906
0.22, 2583552, 2458878, 0.951743, 173474, 140790, 0.811591, 2410078, 2318088, 0.961831, 0.0381689, 0.188409
0.23, 2583552, 2460100, 0.952216, 173474, 139459, 0.803919, 2410078, 2320641, 0.96289, 0.0371096, 0.196081
0.24, 2583552, 2460120, 0.952224, 173474, 138780, 0.800005, 2410078, 2321340, 0.96318, 0.0368196, 0.199995
0.25, 2583552, 2460706, 0.952451, 173474, 137903, 0.794949, 2410078, 2322803, 0.963787, 0.0362125, 0.205051
0.26, 2583552, 2462764, 0.953247, 173474, 136339, 0.785933, 2410078, 2326425, 0.96529, 0.0347097, 0.214067
0.27, 2583552, 2462576, 0.953175, 173474, 134986, 0.778134, 2410078, 2327590, 0.965774, 0.0342263, 0.221866
0.28, 2583552, 2462403, 0.953108, 173474, 133457, 0.76932, 2410078, 2328946, 0.966336, 0.0336636, 0.23068
0.29, 2583552, 2463188, 0.953411, 173474, 132485, 0.763717, 2410078, 2330703, 0.967065, 0.0329346, 0.236283
0.3, 2583552, 2463516, 0.953538, 173474, 130402, 0.751709, 2410078, 2333114, 0.968066, 0.0319342, 0.248291
0.31, 2583552, 2463363, 0.953479, 173474, 128759, 0.742238, 2410078, 2334604, 0.968684, 0.031316, 0.257762
0.32, 2583552, 2463889, 0.953683, 173474, 127633, 0.735747, 2410078, 2336256, 0.969369, 0.0306305, 0.264253
0.33, 2583552, 2463139, 0.953392, 173474, 126263, 0.72785, 2410078, 2336876, 0.969627, 0.0303733, 0.27215
0.34, 2583552, 2463146, 0.953395, 173474, 124575, 0.718119, 2410078, 2338571, 0.97033, 0.02967, 0.281881
0.35, 2583552, 2462295, 0.953066, 173474, 123297, 0.710752, 2410078, 2338998, 0.970507, 0.0294928, 0.289248
0.36, 2583552, 2462163, 0.953015, 173474, 122363, 0.705368, 2410078, 2339800, 0.97084, 0.0291601, 0.294632
0.37, 2583552, 2462419, 0.953114, 173474, 121518, 0.700497, 2410078, 2340901, 0.971297, 0.0287032, 0.299503
0.38, 2583552, 2462324, 0.953077, 173474, 121064, 0.69788, 2410078, 2341260, 0.971446, 0.0285543, 0.30212
0.39, 2583552, 2462365, 0.953093, 173474, 120079, 0.692202, 2410078, 2342286, 0.971871, 0.0281286, 0.307798
0.4, 2583552, 2462565, 0.95317, 173474, 117940, 0.679871, 2410078, 2344625, 0.972842, 0.027158, 0.320129
0.41, 2583552, 2461913, 0.952918, 173474, 115036, 0.663131, 2410078, 2346877, 0.973776, 0.0262236, 0.336869
0.42, 2583552, 2461147, 0.952621, 173474, 113031, 0.651573, 2410078, 2348116, 0.97429, 0.0257095, 0.348427
0.43, 2583552, 2460630, 0.952421, 173474, 111350, 0.641883, 2410078, 2349280, 0.974773, 0.0252266, 0.358117
0.44, 2583552, 2459884, 0.952133, 173474, 108559, 0.625794, 2410078, 2351325, 0.975622, 0.024378, 0.374206
0.45, 2583552, 2459148, 0.951848, 173474, 107305, 0.618565, 2410078, 2351843, 0.975837, 0.0241631, 0.381435
0.46, 2583552, 2458529, 0.951608, 173474, 105998, 0.611031, 2410078, 2352531, 0.976122, 0.0238777, 0.388969
0.47, 2583552, 2458283, 0.951513, 173474, 104862, 0.604483, 2410078, 2353421, 0.976492, 0.0235084, 0.395517
0.48, 2583552, 2457078, 0.951046, 173474, 102815, 0.592682, 2410078, 2354263, 0.976841, 0.023159, 0.407318
0.49, 2583552, 2456523, 0.950832, 173474, 100867, 0.581453, 2410078, 2355656, 0.977419, 0.022581, 0.418547
0.5, 2583552, 2455997, 0.950628, 173474, 98972, 0.570529, 2410078, 2357025, 0.977987, 0.022013, 0.429471
0.51, 2583552, 2455657, 0.950496, 173474, 97926, 0.5645, 2410078, 2357731, 0.97828, 0.02172, 0.4355
0.52, 2583552, 2455263, 0.950344, 173474, 96163, 0.554337, 2410078, 2359100, 0.978848, 0.021152, 0.445663
0.53, 2583552, 2454861, 0.950188, 173474, 93940, 0.541522, 2410078, 2360921, 0.979604, 0.0203964, 0.458478
0.54, 2583552, 2454374, 0.95, 173474, 92917, 0.535625, 2410078, 2361457, 0.979826, 0.020174, 0.464375
0.55, 2583552, 2454245, 0.94995, 173474, 92169, 0.531313, 2410078, 2362076, 0.980083, 0.0199172, 0.468687
0.56, 2583552, 2453504, 0.949663, 173474, 90642, 0.522511, 2410078, 2362862, 0.980409, 0.0195911, 0.477489
0.57, 2583552, 2452965, 0.949454, 173474, 89284, 0.514682, 2410078, 2363681, 0.980749, 0.0192512, 0.485318
0.58, 2583552, 2452051, 0.949101, 173474, 87150, 0.502381, 2410078, 2364901, 0.981255, 0.018745, 0.497619
0.59, 2583552, 2450654, 0.94856, 173474, 84209, 0.485427, 2410078, 2366445, 0.981896, 0.0181044, 0.514573
0.6, 2583552, 2450618, 0.948546, 173474, 82965, 0.478256, 2410078, 2367653, 0.982397, 0.0176032, 0.521744
0.61, 2583552, 2449665, 0.948177, 173474, 81204, 0.468105, 2410078, 2368461, 0.982732, 0.0172679, 0.531895
0.62, 2583552, 2448876, 0.947872, 173474, 79375, 0.457561, 2410078, 2369501, 0.983164, 0.0168364, 0.542439
0.63, 2583552, 2447103, 0.947186, 173474, 76487, 0.440913, 2410078, 2370616, 0.983626, 0.0163737, 0.559087
0.64, 2583552, 2446538, 0.946967, 173474, 74845, 0.431448, 2410078, 2371693, 0.984073, 0.0159269, 0.568552
0.65, 2583552, 2446098, 0.946797, 173474, 73816, 0.425516, 2410078, 2372282, 0.984318, 0.0156825, 0.574484
0.66, 2583552, 2445223, 0.946458, 173474, 72400, 0.417354, 2410078, 2372823, 0.984542, 0.015458, 0.582646
0.67, 2583552, 2443625, 0.945839, 173474, 70038, 0.403738, 2410078, 2373587, 0.984859, 0.015141, 0.596262
0.68, 2583552, 2443008, 0.9456, 173474, 68410, 0.394353, 2410078, 2374598, 0.985278, 0.0147215, 0.605647
0.69, 2583552, 2442913, 0.945564, 173474, 67343, 0.388202, 2410078, 2375570, 0.985682, 0.0143182, 0.611798
0.7, 2583552, 2442373, 0.945355, 173474, 64987, 0.374621, 2410078, 2377386, 0.986435, 0.0135647, 0.625379
0.71, 2583552, 2441479, 0.945009, 173474, 62854, 0.362325, 2410078, 2378625, 0.986949, 0.0130506, 0.637675
0.72, 2583552, 2439619, 0.944289, 173474, 59720, 0.344259, 2410078, 2379899, 0.987478, 0.012522, 0.655741
0.73, 2583552, 2438718, 0.94394, 173474, 57501, 0.331468, 2410078, 2381217, 0.988025, 0.0119751, 0.668532
0.74, 2583552, 2437893, 0.943621, 173474, 56297, 0.324527, 2410078, 2381596, 0.988182, 0.0118179, 0.675473
0.75, 2583552, 2436884, 0.94323, 173474, 54688, 0.315252, 2410078, 2382196, 0.988431, 0.0115689, 0.684748
0.76, 2583552, 2436462, 0.943067, 173474, 53516, 0.308496, 2410078, 2382946, 0.988742, 0.0112577, 0.691504
0.77, 2583552, 2435714, 0.942777, 173474, 52233, 0.3011, 2410078, 2383481, 0.988964, 0.0110357, 0.6989
0.78, 2583552, 2435400, 0.942656, 173474, 51217, 0.295243, 2410078, 2384183, 0.989256, 0.0107445, 0.704757
0.79, 2583552, 2434491, 0.942304, 173474, 49695, 0.286469, 2410078, 2384796, 0.98951, 0.0104901, 0.713531
0.8, 2583552, 2433367, 0.941869, 173474, 47294, 0.272629, 2410078, 2386073, 0.99004, 0.00996026, 0.727371
0.81, 2583552, 2432359, 0.941479, 173474, 44129, 0.254384, 2410078, 2388230, 0.990935, 0.00906527, 0.745616
0.82, 2583552, 2430176, 0.940634, 173474, 39963, 0.230369, 2410078, 2390213, 0.991758, 0.00824247, 0.769631
0.83, 2583552, 2429059, 0.940201, 173474, 37702, 0.217335, 2410078, 2391357, 0.992232, 0.0077678, 0.782665
0.84, 2583552, 2428485, 0.939979, 173474, 36326, 0.209403, 2410078, 2392159, 0.992565, 0.00743503, 0.790597
0.85, 2583552, 2427254, 0.939503, 173474, 34250, 0.197436, 2410078, 2393004, 0.992916, 0.00708442, 0.802564
0.86, 2583552, 2425616, 0.938869, 173474, 31040, 0.178932, 2410078, 2394576, 0.993568, 0.00643216, 0.821068
0.87, 2583552, 2424219, 0.938328, 173474, 28322, 0.163264, 2410078, 2395897, 0.994116, 0.00588404, 0.836736
0.88, 2583552, 2423505, 0.938052, 173474, 27049, 0.155925, 2410078, 2396456, 0.994348, 0.0056521, 0.844075
0.89, 2583552, 2422555, 0.937684, 173474, 24995, 0.144085, 2410078, 2397560, 0.994806, 0.00519402, 0.855915
0.9, 2583552, 2420785, 0.936999, 173474, 21621, 0.124635, 2410078, 2399164, 0.995472, 0.00452848, 0.875365
0.91, 2583552, 2420321, 0.936819, 173474, 20171, 0.116277, 2410078, 2400150, 0.995881, 0.00411937, 0.883723
0.92, 2583552, 2419507, 0.936504, 173474, 17955, 0.103503, 2410078, 2401552, 0.996462, 0.00353764, 0.896497
0.93, 2583552, 2419243, 0.936402, 173474, 16901, 0.0974267, 2410078, 2402342, 0.99679, 0.00320985, 0.902573
0.94, 2583552, 2417158, 0.935595, 173474, 13035, 0.0751409, 2410078, 2404123, 0.997529, 0.00247087, 0.924859
0.95, 2583552, 2415146, 0.934816, 173474, 9054, 0.0521923, 2410078, 2406092, 0.998346, 0.00165389, 0.947808
0.96, 2583552, 2414418, 0.934534, 173474, 7991, 0.0460645, 2410078, 2406427, 0.998485, 0.00151489, 0.953935
0.97, 2583552, 2413646, 0.934236, 173474, 6810, 0.0392566, 2410078, 2406836, 0.998655, 0.00134518, 0.960743
0.98, 2583552, 2413157, 0.934046, 173474, 5517, 0.031803, 2410078, 2407640, 0.998988, 0.00101159, 0.968197
0.99, 2583552, 2411299, 0.933327, 173474, 2156, 0.0124284, 2410078, 2409143, 0.999612, 0.000387954, 0.987572
