Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.01, 2583552, 1723675, 0.667173, 133449, 131113, 0.982495, 2450103, 1592562, 0.649998, 0.350002, 0.0175048
0.02, 2583552, 1942844, 0.752005, 133449, 129858, 0.973091, 2450103, 1812986, 0.739963, 0.260037, 0.0269092
0.03, 2583552, 2069964, 0.801209, 133449, 128753, 0.964811, 2450103, 1941211, 0.792298, 0.207702, 0.0351895
0.04, 2583552, 2136784, 0.827072, 133449, 127864, 0.958149, 2450103, 2008920, 0.819933, 0.180067, 0.0418512
0.05, 2583552, 2189671, 0.847543, 133449, 127041, 0.951982, 2450103, 2062630, 0.841854, 0.158146, 0.0480183
0.06, 2583552, 2219326, 0.859021, 133449, 126509, 0.947995, 2450103, 2092817, 0.854175, 0.145825, 0.0520049
0.07, 2583552, 2264124, 0.876361, 133449, 125533, 0.940681, 2450103, 2138591, 0.872858, 0.127142, 0.0593185
0.08, 2583552, 2296302, 0.888816, 133449, 124609, 0.933757, 2450103, 2171693, 0.886368, 0.113632, 0.0662425
0.09, 2583552, 2318546, 0.897426, 133449, 123914, 0.928549, 2450103, 2194632, 0.895731, 0.104269, 0.0714505
0.1, 2583552, 2331556, 0.902461, 133449, 122995, 0.921663, 2450103, 2208561, 0.901416, 0.0985844, 0.078337
0.11, 2583552, 2349238, 0.909305, 133449, 122411, 0.917287, 2450103, 2226827, 0.908871, 0.0911292, 0.0827132
0.12, 2583552, 2374445, 0.919062, 133449, 121547, 0.910812, 2450103, 2252898, 0.919512, 0.0804885, 0.0891876
0.13, 2583552, 2387551, 0.924135, 133449, 120553, 0.903364, 2450103, 2266998, 0.925266, 0.0747336, 0.0966362
0.14, 2583552, 2401200, 0.929418, 133449, 119898, 0.898456, 2450103, 2281302, 0.931105, 0.0688955, 0.101544
0.15, 2583552, 2412176, 0.933667, 133449, 119018, 0.891861, 2450103, 2293158, 0.935944, 0.0640565, 0.108139
0.16, 2583552, 2418781, 0.936223, 133449, 118117, 0.88511, 2450103, 2300664, 0.939007, 0.0609929, 0.11489
0.17, 2583552, 2422393, 0.937621, 133449, 116999, 0.876732, 2450103, 2305394, 0.940938, 0.0590624, 0.123268
0.18, 2583552, 2436846, 0.943215, 133449, 115706, 0.867043, 2450103, 2321140, 0.947364, 0.0526357, 0.132957
0.19, 2583552, 2440416, 0.944597, 133449, 115341, 0.864308, 2450103, 2325075, 0.94897, 0.0510297, 0.135692
0.2, 2583552, 2446129, 0.946809, 133449, 114578, 0.85859, 2450103, 2331551, 0.951613, 0.0483865, 0.14141
0.21, 2583552, 2449181, 0.94799, 133449, 113352, 0.849403, 2450103, 2335829, 0.95336, 0.0466405, 0.150597
0.22, 2583552, 2453643, 0.949717, 133449, 112245, 0.841108, 2450103, 2341398, 0.955632, 0.0443675, 0.158892
0.23, 2583552, 2457470, 0.951198, 133449, 111175, 0.83309, 2450103, 2346295, 0.957631, 0.0423688, 0.16691
0.24, 2583552, 2457878, 0.951356, 133449, 110670, 0.829306, 2450103, 2347208, 0.958004, 0.0419962, 0.170694
0.25, 2583552, 2459607, 0.952025, 133449, 109793, 0.822734, 2450103, 2349814, 0.959067, 0.0409326, 0.177266
0.26, 2583552, 2466107, 0.954541, 133449, 108542, 0.813359, 2450103, 2357565, 0.962231, 0.037769, 0.186641
0.27, 2583552, 2467233, 0.954977, 133449, 107790, 0.807724, 2450103, 2359443, 0.962997, 0.0370025, 0.192276
0.28, 2583552, 2469622, 0.955902, 133449, 106778, 0.800141, 2450103, 2362844, 0.964386, 0.0356144, 0.199859
0.29, 2583552, 2472390, 0.956973, 133449, 105877, 0.793389, 2450103, 2366513, 0.965883, 0.0341169, 0.206611
0.3, 2583552, 2474613, 0.957834, 133449, 104451, 0.782704, 2450103, 2370162, 0.967372, 0.0326276, 0.217296
0.31, 2583552, 2475751, 0.958274, 133449, 103180, 0.773179, 2450103, 2372571, 0.968356, 0.0316444, 0.226821
0.32, 2583552, 2478403, 0.959301, 133449, 102244, 0.766165, 2450103, 2376159, 0.96982, 0.03018, 0.233835
0.33, 2583552, 2478007, 0.959147, 133449, 101108, 0.757653, 2450103, 2376899, 0.970122, 0.0298779, 0.242347
0.34, 2583552, 2479097, 0.959569, 133449, 100053, 0.749747, 2450103, 2379044, 0.970998, 0.0290025, 0.250253
0.35, 2583552, 2479382, 0.95968, 133449, 98837, 0.740635, 2450103, 2380545, 0.97161, 0.0283898, 0.259365
0.36, 2583552, 2480228, 0.960007, 133449, 98122, 0.735277, 2450103, 2382106, 0.972247, 0.0277527, 0.264723
0.37, 2583552, 2481656, 0.96056, 133449, 97311, 0.7292, 2450103, 2384345, 0.973161, 0.0268389, 0.2708
0.38, 2583552, 2481586, 0.960533, 133449, 96803, 0.725393, 2450103, 2384783, 0.97334, 0.0266601, 0.274607
0.39, 2583552, 2482425, 0.960857, 133449, 95803, 0.7179, 2450103, 2386622, 0.97409, 0.0259095, 0.2821
0.4, 2583552, 2484170, 0.961533, 133449, 94103, 0.705161, 2450103, 2390067, 0.975497, 0.0245035, 0.294839
0.41, 2583552, 2486187, 0.962314, 133449, 92022, 0.689567, 2450103, 2394165, 0.977169, 0.0228309, 0.310433
0.42, 2583552, 2486502, 0.962435, 133449, 90418, 0.677547, 2450103, 2396084, 0.977952, 0.0220476, 0.322453
0.43, 2583552, 2486571, 0.962462, 133449, 88781, 0.66528, 2450103, 2397790, 0.978649, 0.0213513, 0.33472
