Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.01, 2583552, 1114689, 0.431456, 138574, 134970, 0.973992, 2444978, 979719, 0.400707, 0.599293, 0.0260078
0.02, 2583552, 1177424, 0.455738, 138574, 134143, 0.968024, 2444978, 1043281, 0.426704, 0.573296, 0.0319757
0.03, 2583552, 1225332, 0.474282, 138574, 133522, 0.963543, 2444978, 1091810, 0.446552, 0.553448, 0.0364571
0.04, 2583552, 1264394, 0.489401, 138574, 133020, 0.95992, 2444978, 1131374, 0.462734, 0.537266, 0.0400797
0.05, 2583552, 1299352, 0.502932, 138574, 132604, 0.956918, 2444978, 1166748, 0.477202, 0.522798, 0.0430817
0.06, 2583552, 1335210, 0.516812, 138574, 132211, 0.954082, 2444978, 1202999, 0.492029, 0.507971, 0.0459177
0.07, 2583552, 1372271, 0.531157, 138574, 131886, 0.951737, 2444978, 1240385, 0.507319, 0.492681, 0.048263
0.08, 2583552, 1410134, 0.545812, 138574, 131512, 0.949038, 2444978, 1278622, 0.522958, 0.477042, 0.0509619
0.09, 2583552, 1454787, 0.563096, 138574, 131140, 0.946354, 2444978, 1323647, 0.541374, 0.458626, 0.0536464
0.1, 2583552, 1497471, 0.579617, 138574, 130765, 0.943647, 2444978, 1366706, 0.558985, 0.441015, 0.0563526
0.11, 2583552, 1554848, 0.601826, 138574, 130459, 0.941439, 2444978, 1424389, 0.582577, 0.417423, 0.0585608
0.12, 2583552, 1697654, 0.657101, 138574, 130091, 0.938784, 2444978, 1567563, 0.641136, 0.358864, 0.0612164
0.13, 2583552, 1783271, 0.69024, 138574, 129771, 0.936474, 2444978, 1653500, 0.676284, 0.323716, 0.0635256
0.14, 2583552, 1858604, 0.719399, 138574, 129417, 0.93392, 2444978, 1729187, 0.70724, 0.29276, 0.0660802
0.15, 2583552, 1892534, 0.732532, 138574, 129041, 0.931206, 2444978, 1763493, 0.721272, 0.278728, 0.0687936
0.16, 2583552, 1929427, 0.746812, 138574, 128682, 0.928616, 2444978, 1800745, 0.736508, 0.263492, 0.0713842
0.17, 2583552, 1950129, 0.754825, 138574, 128236, 0.925397, 2444978, 1821893, 0.745157, 0.254843, 0.0746027
0.18, 2583552, 1970960, 0.762888, 138574, 127703, 0.921551, 2444978, 1843257, 0.753895, 0.246105, 0.0784491
0.19, 2583552, 1990653, 0.77051, 138574, 127308, 0.9187, 2444978, 1863345, 0.762111, 0.237889, 0.0812995
0.2, 2583552, 2013431, 0.779327, 138574, 126789, 0.914955, 2444978, 1886642, 0.77164, 0.22836, 0.0850448
0.21, 2583552, 2039765, 0.78952, 138574, 126275, 0.911246, 2444978, 1913490, 0.782621, 0.217379, 0.088754
0.22, 2583552, 2064423, 0.799064, 138574, 125775, 0.907638, 2444978, 1938648, 0.79291, 0.20709, 0.0923622
0.23, 2583552, 2085035, 0.807042, 138574, 125369, 0.904708, 2444978, 1959666, 0.801507, 0.198493, 0.095292
0.24, 2583552, 2101847, 0.813549, 138574, 124867, 0.901085, 2444978, 1976980, 0.808588, 0.191412, 0.0989147
0.25, 2583552, 2124091, 0.822159, 138574, 124398, 0.897701, 2444978, 1999693, 0.817878, 0.182122, 0.102299
0.26, 2583552, 2148039, 0.831429, 138574, 123875, 0.893927, 2444978, 2024164, 0.827886, 0.172114, 0.106073
0.27, 2583552, 2166937, 0.838743, 138574, 123330, 0.889994, 2444978, 2043607, 0.835839, 0.164161, 0.110006
0.28, 2583552, 2186219, 0.846207, 138574, 122729, 0.885657, 2444978, 2063490, 0.843971, 0.156029, 0.114343
0.29, 2583552, 2201488, 0.852117, 138574, 122138, 0.881392, 2444978, 2079350, 0.850458, 0.149542, 0.118608
0.3, 2583552, 2218663, 0.858765, 138574, 121558, 0.877206, 2444978, 2097105, 0.857719, 0.142281, 0.122794
0.31, 2583552, 2232049, 0.863946, 138574, 120936, 0.872718, 2444978, 2111113, 0.863449, 0.136551, 0.127282
0.32, 2583552, 2245134, 0.869011, 138574, 120278, 0.867969, 2444978, 2124856, 0.86907, 0.13093, 0.132031
0.33, 2583552, 2258343, 0.874123, 138574, 119612, 0.863163, 2444978, 2138731, 0.874744, 0.125256, 0.136837
0.34, 2583552, 2270260, 0.878736, 138574, 118979, 0.858595, 2444978, 2151281, 0.879877, 0.120123, 0.141405
0.35, 2583552, 2284331, 0.884182, 138574, 118292, 0.853638, 2444978, 2166039, 0.885913, 0.114087, 0.146362
0.36, 2583552, 2296563, 0.888917, 138574, 117543, 0.848233, 2444978, 2179020, 0.891223, 0.108777, 0.151767
0.37, 2583552, 2307387, 0.893106, 138574, 116817, 0.842994, 2444978, 2190570, 0.895947, 0.104053, 0.157006
0.38, 2583552, 2318140, 0.897269, 138574, 116031, 0.837322, 2444978, 2202109, 0.900666, 0.0993338, 0.162678
0.39, 2583552, 2328688, 0.901351, 138574, 115131, 0.830827, 2444978, 2213557, 0.905348, 0.0946516, 0.169173
0.4, 2583552, 2338710, 0.90523, 138574, 114301, 0.824837, 2444978, 2224409, 0.909787, 0.0902131, 0.175163
0.41, 2583552, 2349842, 0.909539, 138574, 113423, 0.818501, 2444978, 2236419, 0.914699, 0.085301, 0.181499
0.42, 2583552, 2357973, 0.912686, 138574, 112577, 0.812396, 2444978, 2245396, 0.918371, 0.0816294, 0.187604
0.43, 2583552, 2367656, 0.916434, 138574, 111624, 0.805519, 2444978, 2256032, 0.922721, 0.0772792, 0.194481
0.44, 2583552, 2375427, 0.919442, 138574, 110633, 0.798368, 2444978, 2264794, 0.926304, 0.0736956, 0.201632
0.45, 2583552, 2382802, 0.922297, 138574, 109555, 0.790588, 2444978, 2273247, 0.929762, 0.0702383, 0.209412
0.46, 2583552, 2388592, 0.924538, 138574, 108370, 0.782037, 2444978, 2280222, 0.932615, 0.0673855, 0.217963
0.47, 2583552, 2394422, 0.926795, 138574, 107071, 0.772663, 2444978, 2287351, 0.93553, 0.0644697, 0.227337
0.48, 2583552, 2401493, 0.929532, 138574, 105768, 0.76326, 2444978, 2295725, 0.938955, 0.0610447, 0.23674
0.49, 2583552, 2408169, 0.932116, 138574, 104414, 0.753489, 2444978, 2303755, 0.94224, 0.0577604, 0.246511
0.5, 2583552, 2412868, 0.933934, 138574, 103063, 0.74374, 2444978, 2309805, 0.944714, 0.055286, 0.25626
0.51, 2583552, 2416773, 0.935446, 138574, 101672, 0.733702, 2444978, 2315101, 0.94688, 0.0531199, 0.266298
0.52, 2583552, 2420055, 0.936716, 138574, 100294, 0.723758, 2444978, 2319761, 0.948786, 0.051214, 0.276242
0.53, 2583552, 2423505, 0.938052, 138574, 98884, 0.713583, 2444978, 2324621, 0.950774, 0.0492262, 0.286417
0.54, 2583552, 2427167, 0.939469, 138574, 97461, 0.703314, 2444978, 2329706, 0.952854, 0.0471464, 0.296686
0.55, 2583552, 2430034, 0.940579, 138574, 95912, 0.692136, 2444978, 2334122, 0.95466, 0.0453403, 0.307864
0.56, 2583552, 2432820, 0.941657, 138574, 94417, 0.681347, 2444978, 2338403, 0.956411, 0.0435893, 0.318653
0.57, 2583552, 2435402, 0.942656, 138574, 92719, 0.669094, 2444978, 2342683, 0.958161, 0.0418388, 0.330906
0.58, 2583552, 2437966, 0.943649, 138574, 91019, 0.656826, 2444978, 2346947, 0.959905, 0.0400948, 0.343174
0.59, 2583552, 2440036, 0.94445, 138574, 89282, 0.644291, 2444978, 2350754, 0.961462, 0.0385378, 0.355709
0.6, 2583552, 2442128, 0.94526, 138574, 87623, 0.632319, 2444978, 2354505, 0.962996, 0.0370036, 0.367681
0.61, 2583552, 2444190, 0.946058, 138574, 85945, 0.62021, 2444978, 2358245, 0.964526, 0.0354739, 0.37979
0.62, 2583552, 2445774, 0.946671, 138574, 84018, 0.606304, 2444978, 2361756, 0.965962, 0.0340379, 0.393696
0.63, 2583552, 2447139, 0.947199, 138574, 82010, 0.591814, 2444978, 2365129, 0.967342, 0.0326584, 0.408186
0.64, 2583552, 2448327, 0.947659, 138574, 79930, 0.576804, 2444978, 2368397, 0.968678, 0.0313218, 0.423196
0.65, 2583552, 2449655, 0.948173, 138574, 77855, 0.56183, 2444978, 2371800, 0.97007, 0.0299299, 0.43817
0.66, 2583552, 2450612, 0.948544, 138574, 75634, 0.545802, 2444978, 2374978, 0.97137, 0.0286301, 0.454198
0.67, 2583552, 2451392, 0.948846, 138574, 73447, 0.53002, 2444978, 2377945, 0.972583, 0.0274166, 0.46998
0.68, 2583552, 2452329, 0.949208, 138574, 71163, 0.513538, 2444978, 2381166, 0.973901, 0.0260992, 0.486462
0.69, 2583552, 2453147, 0.949525, 138574, 68924, 0.49738, 2444978, 2384223, 0.975151, 0.0248489, 0.50262
0.7, 2583552, 2453742, 0.949755, 138574, 66477, 0.479722, 2444978, 2387265, 0.976395, 0.0236047, 0.520278
