Timestamp,What was your Participant ID?,Which Interface did you use first?,I felt comfortable with the Geo-spatial Data Search service and it was straightforward to find and use.,I felt comfortable with the Webcam Image Archive service and it was straightforward to find and use.,I felt comfortable with the Current Conditions service and it was straightforward to  find and use.,It was generally easy to find what I was looking for.,I had difficulty with the following number of tasks:,I had an easy time navigating between the services of the NRDC as the tasks changed.,I felt comfortable with the Geo-spatial Data Search service and it was straightforward to find and use.,I felt comfortable with the Webcam Image Archive service and it was straightforward to find and use.,I felt comfortable with the Current Conditions service and it was straightforward to  find and use.,It was generally easy to find what I was looking for.,I had difficulty with the following number of tasks:,I had an easy time navigating between the services of the NRDC as the tasks changed.,Please select an option indicating your overall preference between the interfaces,"Please indicate which interface you would prefer if you had to work with the NRDC, switching between services regularly.","Please indicate which interface you would prefer if you had to work with the NRDC, mostly using only one of the services.","If you had to introduce someone new to the NRDC, which interface do you think they would like best?",Do you have any thoughts or suggestions regarding the NRDC Interface A?,Do you have any thoughts or suggestions regarding the NRDC Interface 1?,Do you have any thoughts or suggestions regarding the NRDC in general?
5/1/2016 11:59:24,99,NRDC Interface A,3,3,3,3,0 - I had no difficulties,3,3,3,3,3,0 - I had no difficulties,3,3,3,3,3,,,
5/3/2016 19:08:14,0,NRDC Interface A,3,4,5,3,1 - Only one thing was tricky,3,3,4,5,4,0 - I had no difficulties,4,5,4,4,5,"Getting back to the home page without using the back button is annoying. 
There was some major confusion between the Webcam streams and Webcam Image Archive. ","Simpler interface and easy to navigate back to the page. Is there any possibility of listing a sort of trending information..? Maybe add like some live streamed of one of the stations or have it be something you can select. 

",I would suggest adding a list for the weather stations and/or maybe an icon that demonstrates the sites.
5/4/2016 11:46:50,1,NRDC Interface A,4,5,5,5,1 - Only one thing was tricky,5,4,5,5,5,1 - Only one thing was tricky,5,5,5,5,5,,,"On the geospacial search, it was confusing at first as to which parts of the interface to click first, and what conditions would be needed to be met to download / visualize data."
5/4/2016 13:16:00,2,NRDC Interface 1,4,4,4,4,1 - Only one thing was tricky,4,4,4,4,3,1 - Only one thing was tricky,2,5,4,3,3,,I couldn't figure out how to switch between the different parts. Also there should be a link to the about me.,
5/4/2016 13:58:04,3,NRDC Interface A,3,4,4,3,1 - Only one thing was tricky,4,4,4,4,4,0 - I had no difficulties,5,4,4,3,5,It was hard to find map locations,No,"It would be easier to search for locations by key terms rather than the map, if that feature is possible, I missed it."
5/4/2016 14:31:02,4,NRDC Interface 1,4,3,4,4,0 - I had no difficulties,4,4,3,4,4,1 - Only one thing was tricky,4,4,4,4,4,Not really,Title is a bit blamd,Maybe a way to do a broad search by site
5/4/2016 15:19:10,5,NRDC Interface A,1,3,4,3,2 - Some things were difficult,4,4,4,5,4,2 - Some things were difficult,4,4,4,4,4,"The initial (i.e., first-clicked) menu items were not clear; they were not intuitive as to what they would do","The first-clicked menu items were slightly more clear, and experience helped me move through the selections a little faster",
5/4/2016 16:58:45,6,NRDC Interface 1,5,5,5,5,0 - I had no difficulties,5,5,5,5,4,1 - Only one thing was tricky,4,2,5,2,4,Some of the options at the bottom were not obvious at first,The mian page seemed overall well,A map option would be good if used with a list view also.
5/5/2016 12:14:14,7,NRDC Interface A,4,5,5,3,2 - Some things were difficult,3,4,5,5,4,2 - Some things were difficult,4,4,3,3,4,Navigation between some of the services is difficult as the nav bar disappears.,Exiting a pop up window for services may not be intuitive for some people.,Keep a persistent nav bar  at top so it's always possible to get back and easy to navigate
5/5/2016 16:23:08,8,NRDC Interface 1,3,4,2,4,1 - Only one thing was tricky,1,4,4,4,5,1 - Only one thing was tricky,5,4,5,4,5,The navigation menu should be accessible from all the modules; also the layout looked a littled outdated.,Nah I'm good,I feel as though the image retrieval (the one which makes composite videos) UI throws too much information at you all at once.
