"Device","Vector.Size","Blocks","Threads","Compute.Time..s.","Total..Compute...Xfer..Time..s.","Compute.Throughput..int.s.","Total..Compute...Xfer..Throughput..int.s."
"1","NVS 5400M",18900000,63,256,0.00523722,0.0296074,0.00523722,0.0296074
"2","NVS 5400M",21000000,63,256,0.00580374,0.0269239,0.00580374,0.0269239
"3","NVS 5400M",23100000,63,256,0.00638083,0.0284708,0.00638083,0.0284708
"4","NVS 5400M",18000000,63,256,0.00499843,0.0223057,0.00499843,0.0223057
"5","NVS 5400M",20000000,63,256,0.00554006,0.0256449,0.00554006,0.0256449
"6","NVS 5400M",22000000,63,256,0.00607571,0.0294599,0.00607571,0.0294599
"7","NVS 5400M",17100000,63,256,0.00525174,0.0260618,0.00525174,0.0260618
"8","NVS 5400M",19000000,63,256,0.00526829,0.0303358,0.00526829,0.0303358
"9","NVS 5400M",20900000,63,256,0.00670346,0.0293174,0.00670346,0.0293174
"10","NVS 5400M",16200000,63,256,0.00450614,0.0220796,0.00450614,0.0220796
"11","NVS 5400M",18000000,63,256,0.00499034,0.0291121,0.00499034,0.0291121
"12","NVS 5400M",19800000,63,256,0.00547994,0.0299582,0.00547994,0.0299582
"13","NVS 5400M",15300000,63,256,0.00427014,0.0255017,0.00427014,0.0255017
"14","NVS 5400M",17000000,63,256,0.00566634,0.0241245,0.00566634,0.0241245
"15","NVS 5400M",18700000,63,256,0.00518797,0.0252556,0.00518797,0.0252556
"16","NVS 5400M",14400000,63,256,0.00444045,0.0242334,0.00444045,0.0242334
"17","NVS 5400M",16000000,63,256,0.00446182,0.0234985,0.00446182,0.0234985
"18","NVS 5400M",17600000,63,256,0.0048889,0.0239954,0.0048889,0.0239954
"19","NVS 5400M",13500000,63,256,0.00378608,0.0186503,0.00378608,0.0186503
"20","NVS 5400M",15000000,63,256,0.00462157,0.0208972,0.00462157,0.0208972
"21","NVS 5400M",16500000,63,256,0.00460157,0.0207511,0.00460157,0.0207511
"22","NVS 5400M",12600000,63,256,0.0035423,0.0160406,0.0035423,0.0160406
"23","NVS 5400M",14000000,63,256,0.0039183,0.0191017,0.0039183,0.0191017
"24","NVS 5400M",15400000,63,256,0.00429962,0.0208228,0.00429962,0.0208228
"25","NVS 5400M",11700000,63,256,0.00329402,0.0144185,0.00329402,0.0144185
"26","NVS 5400M",13000000,63,256,0.00365174,0.0177796,0.00365174,0.0177796
"27","NVS 5400M",14300000,63,256,0.0040001,0.0194729,0.0040001,0.0194729
"28","NVS 5400M",10800000,63,256,0.00305274,0.014634,0.00305274,0.014634
"29","NVS 5400M",12000000,63,256,0.00338144,0.0163867,0.00338144,0.0163867
"30","NVS 5400M",13200000,63,256,0.00370106,0.0180492,0.00370106,0.0180492
"31","NVS 5400M",9900000,63,256,0.00281667,0.0135015,0.00281667,0.0135015
"32","NVS 5400M",11000000,63,256,0.00310835,0.0151883,0.00310835,0.0151883
"33","NVS 5400M",12100000,63,256,0.00340496,0.0166115,0.00340496,0.0166115
"34","NVS 5400M",9000000,63,256,0.00257219,0.0113422,0.00257219,0.0113422
"35","NVS 5400M",10000000,63,256,0.00284246,0.013043,0.00284246,0.013043
"36","NVS 5400M",11000000,63,256,0.00310845,0.0145102,0.00310845,0.0145102
"37","NVS 5400M",8100000,63,256,0.00233034,0.0111983,0.00233034,0.0111983
"38","NVS 5400M",9000000,63,256,0.00257133,0.0113636,0.00257133,0.0113636
"39","NVS 5400M",9900000,63,256,0.00281632,0.0137396,0.00281632,0.0137396
"40","NVS 5400M",7200000,63,256,0.00208838,0.010181,0.00208838,0.010181
"41","NVS 5400M",8000000,63,256,0.00230144,0.0105739,0.00230144,0.0105739
"42","NVS 5400M",8800000,63,256,0.00252099,0.011683,0.00252099,0.011683
"43","NVS 5400M",6300000,63,256,0.00184438,0.00794419,0.00184438,0.00794419
"44","NVS 5400M",7000000,63,256,0.00203248,0.00899389,0.00203248,0.00899389
"45","NVS 5400M",7700000,63,256,0.00222326,0.0102979,0.00222326,0.0102979
"46","NVS 5400M",5400000,63,256,0.00160192,0.00760589,0.00160192,0.00760589
"47","NVS 5400M",6000000,63,256,0.0017607,0.00809875,0.0017607,0.00809875
"48","NVS 5400M",6600000,63,256,0.00192246,0.00866602,0.00192246,0.00866602
"49","NVS 5400M",4500000,63,256,0.00135965,0.0063343,0.00135965,0.0063343
"50","NVS 5400M",5000000,63,256,0.00149357,0.00675373,0.00149357,0.00675373
"51","NVS 5400M",5500000,63,256,0.00162573,0.00794883,0.00162573,0.00794883
"52","NVS 5400M",3600000,63,256,0.00111622,0.00511171,0.00111622,0.00511171
"53","NVS 5400M",4000000,63,256,0.0012233,0.0055735,0.0012233,0.0055735
"54","NVS 5400M",4400000,63,256,0.00133069,0.00657274,0.00133069,0.00657274
"55","NVS 5400M",2700000,63,256,0.000874272,0.00434525,0.000874272,0.00434525
"56","NVS 5400M",3000000,63,256,0.000954208,0.00466333,0.000954208,0.00466333
"57","NVS 5400M",3300000,63,256,0.00103462,0.00499171,0.00103462,0.00499171
"58","NVS 5400M",1800000,63,256,0.000632736,0.00304154,0.000632736,0.00304154
"59","NVS 5400M",2000000,63,256,0.000685088,0.00340074,0.000685088,0.00340074
"60","NVS 5400M",2200000,63,256,0.000738176,0.00310474,0.000738176,0.00310474
"61","NVS 5400M",900000,63,256,0.000389984,0.00196099,0.000389984,0.00196099
"62","NVS 5400M",1000000,63,256,0.000417152,0.00197514,0.000417152,0.00197514
"63","NVS 5400M",1100000,63,256,0.00044368,0.00207818,0.00044368,0.00207818
