"Device","Vector.Size","Blocks","Threads","Compute.Time..s.","Total..Compute...Xfer..Time..s.","Compute.Throughput..int.s.","Total..Compute...Xfer..Throughput..int.s.","Speedup"
"1","NVS 5400M",14000000,65535,1024,1.39306,1.40769,1.39306,1.40769,0.0330208318378246
"2","NVS 5400M",14000000,65535,512,0.568473,0.583754,0.568473,0.583754,0.0809185308712991
"3","NVS 5400M",14000000,65535,256,0.266402,0.281741,0.266402,0.281741,0.172671376341018
"4","NVS 5400M",14000000,65535,128,0.127981,0.142892,0.127981,0.142892,0.359428352646096
"5","NVS 5400M",14000000,65535,64,0.070967,0.0861275,0.070967,0.0861275,0.648188594698945
"6","NVS 5400M",14000000,65535,32,0.0677115,0.0829849,0.0677115,0.0829849,0.679352842574747
"7","NVS 5400M",14000000,65535,16,0.0691518,0.0844169,0.0691518,0.0844169,0.665203219583583
"8","NVS 5400M",14000000,65535,8,0.0782612,0.093723,0.0782612,0.093723,0.587775296059861
"9","NVS 5400M",14000000,65535,4,0.107359,0.122543,0.107359,0.122543,0.428468968600676
"10","NVS 5400M",14000000,32767,1024,0.692407,0.707648,0.692407,0.707648,0.06643491472501
"11","NVS 5400M",14000000,32767,512,0.28377,0.29903,0.28377,0.29903,0.162103111674948
"12","NVS 5400M",14000000,32767,256,0.133925,0.149061,0.133925,0.149061,0.343475826022027
"13","NVS 5400M",14000000,32767,128,0.0652424,0.0784402,0.0652424,0.0784402,0.705062965188282
"14","NVS 5400M",14000000,32767,64,0.0389759,0.052568,0.0389759,0.052568,1.18021649275578
"15","NVS 5400M",14000000,32767,32,0.0413626,0.055738,0.0413626,0.055738,1.11211577608758
"16","NVS 5400M",14000000,32767,16,0.0470367,0.062061,0.0470367,0.062061,0.977959763333737
"17","NVS 5400M",14000000,32767,8,0.0594196,0.0727483,0.0594196,0.0727483,0.774155329217968
"18","NVS 5400M",14000000,32767,4,0.0852433,0.100579,0.0852433,0.100579,0.53963185376446
"19","NVS 5400M",14000000,16383,1024,0.34294,0.358441,0.34294,0.358441,0.134134250889368
"20","NVS 5400M",14000000,16383,512,0.141318,0.155711,0.141318,0.155711,0.325507012553249
"21","NVS 5400M",14000000,16383,256,0.0676799,0.0812861,0.0676799,0.0812861,0.679670034973456
"22","NVS 5400M",14000000,16383,128,0.0338774,0.0469762,0.0338774,0.0469762,1.3578373783112
"23","NVS 5400M",14000000,16383,64,0.0230763,0.0363228,0.0230763,0.0363228,1.99338715478651
"24","NVS 5400M",14000000,16383,32,0.0286325,0.0422432,0.0286325,0.0422432,1.60656596524928
"25","NVS 5400M",14000000,16383,16,0.0357661,0.0526749,0.0357661,0.0526749,1.28613407668155
"26","NVS 5400M",14000000,16383,8,0.0523354,0.0672668,0.0523354,0.0672668,0.878946181743141
"27","NVS 5400M",14000000,16383,4,0.086951,0.101246,0.086951,0.101246,0.529033593633196
"28","NVS 5400M",14000000,8191,1024,0.168133,0.183242,0.168133,0.183242,0.273592929407077
"29","NVS 5400M",14000000,8191,512,0.0702196,0.0839288,0.0702196,0.0839288,0.655087753276863
"30","NVS 5400M",14000000,8191,256,0.034523,0.0497503,0.034523,0.0497503,1.33244503664224
"31","NVS 5400M",14000000,8191,128,0.0182191,0.0334928,0.0182191,0.0334928,2.52482285074455
"32","NVS 5400M",14000000,8191,64,0.0152895,0.0305373,0.0152895,0.0305373,3.00860067366493
