Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 1.48024, 0.0204495, 1.50069, 1.27682e+007, 1.25942e+007, 65535, 1024, Complete
NVS 5400M, 18900000, 0.569387, 0.0305896, 0.599977, 3.31936e+007, 3.15012e+007, 65535, 512, Complete
NVS 5400M, 18900000, 0.267587, 0.0202965, 0.287884, 7.06312e+007, 6.56515e+007, 65535, 256, Complete
NVS 5400M, 18900000, 0.129197, 0.0201377, 0.149335, 1.46288e+008, 1.26561e+008, 65535, 128, Complete
NVS 5400M, 18900000, 0.0735368, 0.019653, 0.0931898, 2.57014e+008, 2.02812e+008, 65535, 64, Complete
NVS 5400M, 18900000, 0.0730978, 0.0209186, 0.0940164, 2.58558e+008, 2.01029e+008, 65535, 32, Complete
NVS 5400M, 18900000, 0.077887, 0.0202247, 0.0981117, 2.42659e+008, 1.92637e+008, 65535, 16, Complete
NVS 5400M, 18900000, 0.0952014, 0.0203196, 0.115521, 1.98526e+008, 1.63607e+008, 65535, 8, Complete
NVS 5400M, 18900000, 0.136477, 0.0193886, 0.155866, 1.38485e+008, 1.21258e+008, 65535, 4, Complete
NVS 5400M, 18900000, 0.694339, 0.0200796, 0.714419, 2.72201e+007, 2.64551e+007, 32767, 1024, Complete
NVS 5400M, 18900000, 0.284834, 0.0194196, 0.304254, 6.63544e+007, 6.21192e+007, 32767, 512, Complete
NVS 5400M, 18900000, 0.135127, 0.0202621, 0.155389, 1.39868e+008, 1.2163e+008, 32767, 256, Complete
NVS 5400M, 18900000, 0.0664501, 0.0195988, 0.086049, 2.84424e+008, 2.19642e+008, 32767, 128, Complete
NVS 5400M, 18900000, 0.0416218, 0.0203823, 0.0620041, 4.54089e+008, 3.04819e+008, 32767, 64, Complete
NVS 5400M, 18900000, 0.0472741, 0.019024, 0.0662981, 3.99796e+008, 2.85076e+008, 32767, 32, Complete
NVS 5400M, 18900000, 0.0556073, 0.0176366, 0.0732439, 3.39883e+008, 2.58042e+008, 32767, 16, Complete
NVS 5400M, 18900000, 0.0760674, 0.0203543, 0.0964216, 2.48464e+008, 1.96014e+008, 32767, 8, Complete
NVS 5400M, 18900000, 0.117146, 0.0186226, 0.135769, 1.61337e+008, 1.39207e+008, 32767, 4, Complete
NVS 5400M, 18900000, 0.344361, 0.0191267, 0.363487, 5.48843e+007, 5.19963e+007, 16383, 1024, Complete
NVS 5400M, 18900000, 0.142534, 0.0204547, 0.162989, 1.326e+008, 1.15959e+008, 16383, 512, Complete
NVS 5400M, 18900000, 0.0689303, 0.019962, 0.0888923, 2.7419e+008, 2.12617e+008, 16383, 256, Complete
NVS 5400M, 18900000, 0.0350911, 0.0202636, 0.0553547, 5.38598e+008, 3.41434e+008, 16383, 128, Complete
NVS 5400M, 18900000, 0.0258754, 0.0203243, 0.0461997, 7.30424e+008, 4.09093e+008, 16383, 64, Complete
NVS 5400M, 18900000, 0.0342144, 0.0183591, 0.0525735, 5.52399e+008, 3.59497e+008, 16383, 32, Complete
NVS 5400M, 18900000, 0.044502, 0.0180211, 0.0625232, 4.247e+008, 3.02288e+008, 16383, 16, Complete
NVS 5400M, 18900000, 0.0677455, 0.0200992, 0.0878446, 2.78985e+008, 2.15153e+008, 16383, 8, Complete
NVS 5400M, 18900000, 0.120889, 0.0201934, 0.141082, 1.56342e+008, 1.33964e+008, 16383, 4, Complete
NVS 5400M, 18900000, 0.169536, 0.0201666, 0.189702, 1.11481e+008, 9.96299e+007, 8191, 1024, Complete
NVS 5400M, 18900000, 0.0713672, 0.0197525, 0.0911197, 2.64828e+008, 2.0742e+008, 8191, 512, Complete
NVS 5400M, 18900000, 0.0357634, 0.0192366, 0.055, 5.28474e+008, 3.43637e+008, 8191, 256, Complete
