Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 1.47474, 0.144163, 1.61891, 1.28158e+007, 1.16746e+007, 65535, 1024, Complete
NVS 5400M, 18900000, 0.569757, 0.0618389, 0.631596, 3.3172e+007, 2.99242e+007, 65535, 512, Complete
NVS 5400M, 18900000, 0.267513, 0.0618605, 0.329374, 7.06507e+007, 5.73816e+007, 65535, 256, Complete
NVS 5400M, 18900000, 0.129188, 0.060331, 0.189519, 1.46298e+008, 9.97262e+007, 65535, 128, Complete
NVS 5400M, 18900000, 0.0735445, 0.0630102, 0.136555, 2.56987e+008, 1.38406e+008, 65535, 64, Complete
NVS 5400M, 18900000, 0.0731024, 0.060632, 0.133734, 2.58541e+008, 1.41325e+008, 65535, 32, Complete
NVS 5400M, 18900000, 0.0779246, 0.0627203, 0.140645, 2.42542e+008, 1.34381e+008, 65535, 16, Complete
NVS 5400M, 18900000, 0.0949233, 0.0617935, 0.156717, 1.99108e+008, 1.206e+008, 65535, 8, Complete
NVS 5400M, 18900000, 0.136748, 0.0617481, 0.198496, 1.38211e+008, 9.52162e+007, 65535, 4, Complete
NVS 5400M, 18900000, 0.693854, 0.0635263, 0.75738, 2.72392e+007, 2.49544e+007, 32767, 1024, Complete
NVS 5400M, 18900000, 0.284862, 0.0597986, 0.34466, 6.6348e+007, 5.48366e+007, 32767, 512, Complete
NVS 5400M, 18900000, 0.135106, 0.0617789, 0.196884, 1.39891e+008, 9.59954e+007, 32767, 256, Complete
NVS 5400M, 18900000, 0.0664477, 0.0625822, 0.12903, 2.84434e+008, 1.46478e+008, 32767, 128, Complete
NVS 5400M, 18900000, 0.0416129, 0.0625131, 0.104126, 4.54186e+008, 1.81511e+008, 32767, 64, Complete
NVS 5400M, 18900000, 0.0472831, 0.0618185, 0.109102, 3.9972e+008, 1.73233e+008, 32767, 32, Complete
NVS 5400M, 18900000, 0.0556817, 0.0603857, 0.116067, 3.3943e+008, 1.62836e+008, 32767, 16, Complete
NVS 5400M, 18900000, 0.0759331, 0.0614327, 0.137366, 2.48903e+008, 1.37589e+008, 32767, 8, Complete
NVS 5400M, 18900000, 0.116158, 0.0617342, 0.177892, 1.6271e+008, 1.06244e+008, 32767, 4, Complete
NVS 5400M, 18900000, 0.344381, 0.0639755, 0.408357, 5.48811e+007, 4.62831e+007, 16383, 1024, Complete
NVS 5400M, 18900000, 0.142545, 0.0606735, 0.203218, 1.3259e+008, 9.30034e+007, 16383, 512, Complete
NVS 5400M, 18900000, 0.0688894, 0.0616057, 0.130495, 2.74353e+008, 1.44833e+008, 16383, 256, Complete
NVS 5400M, 18900000, 0.0350886, 0.0620317, 0.0971203, 5.38636e+008, 1.94604e+008, 16383, 128, Complete
NVS 5400M, 18900000, 0.0258701, 0.0638894, 0.0897595, 7.30572e+008, 2.10563e+008, 16383, 64, Complete
NVS 5400M, 18900000, 0.034212, 0.0618566, 0.0960686, 5.52437e+008, 1.96734e+008, 16383, 32, Complete
NVS 5400M, 18900000, 0.0445413, 0.0622444, 0.106786, 4.24325e+008, 1.7699e+008, 16383, 16, Complete
NVS 5400M, 18900000, 0.0677456, 0.0620655, 0.129811, 2.78985e+008, 1.45596e+008, 16383, 8, Complete
