Device Type, Method, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, striding, 2000, 1.18903, 0.00687313, 1.19591, 1682.04, 1672.37, 65535, 512, Complete
NVS 5400M, striding, 2000, 0.677736, 0.00589788, 0.683634, 2951, 2925.54, 65535, 256, Complete
NVS 5400M, striding, 2000, 0.598268, 0.00433737, 0.602606, 3342.98, 3318.92, 65535, 128, Complete
NVS 5400M, striding, 2000, 0.585377, 0.00435954, 0.589736, 3416.6, 3391.35, 65535, 64, Complete
NVS 5400M, striding, 2000, 0.928539, 0.00433862, 0.932878, 2153.92, 2143.9, 65535, 32, Complete
NVS 5400M, striding, 2000, 1.07855, 0.00433052, 1.08288, 1854.34, 1846.92, 32767, 512, Complete
NVS 5400M, striding, 2000, 0.674058, 0.00465113, 0.678709, 2967.1, 2946.77, 32767, 256, Complete
NVS 5400M, striding, 2000, 0.596253, 0.00437427, 0.600627, 3354.28, 3329.85, 32767, 128, Complete
NVS 5400M, striding, 2000, 0.586934, 0.00434285, 0.591277, 3407.54, 3382.51, 32767, 64, Complete
NVS 5400M, striding, 2000, 0.926872, 0.00433075, 0.931203, 2157.79, 2147.76, 32767, 32, Complete
NVS 5400M, striding, 2000, 1.07305, 0.00433087, 1.07738, 1863.85, 1856.36, 16383, 512, Complete
NVS 5400M, striding, 2000, 0.670766, 0.00432742, 0.675093, 2981.67, 2962.55, 16383, 256, Complete
NVS 5400M, striding, 2000, 0.592528, 0.0043425, 0.596871, 3375.37, 3350.81, 16383, 128, Complete
NVS 5400M, striding, 2000, 0.586355, 0.00434607, 0.590701, 3410.9, 3385.81, 16383, 64, Complete
NVS 5400M, striding, 2000, 0.927337, 0.00451374, 0.93185, 2156.71, 2146.27, 16383, 32, Complete
NVS 5400M, striding, 2000, 1.07031, 0.00435507, 1.07466, 1868.62, 1861.05, 8191, 512, Complete
NVS 5400M, striding, 2000, 0.668833, 0.00431907, 0.673152, 2990.28, 2971.1, 8191, 256, Complete
NVS 5400M, striding, 2000, 0.591382, 0.0043419, 0.595724, 3381.91, 3357.26, 8191, 128, Complete
NVS 5400M, striding, 2000, 0.58347, 0.00442684, 0.587897, 3427.77, 3401.96, 8191, 64, Complete
NVS 5400M, striding, 2000, 0.926755, 0.00434268, 0.931097, 2158.07, 2148, 8191, 32, Complete
NVS 5400M, striding, 2000, 1.04407, 0.00470507, 1.04877, 1915.59, 1906.99, 4095, 512, Complete
NVS 5400M, striding, 2000, 0.67907, 0.00440812, 0.683478, 2945.2, 2926.21, 4095, 256, Complete
NVS 5400M, striding, 2000, 0.592309, 0.00439805, 0.596707, 3376.62, 3351.73, 4095, 128, Complete
NVS 5400M, striding, 2000, 0.577683, 0.00433987, 0.582023, 3462.11, 3436.29, 4095, 64, Complete
NVS 5400M, striding, 2000, 0.926339, 0.00434715, 0.930686, 2159.04, 2148.95, 4095, 32, Complete
NVS 5400M, striding, 2000, 1.05179, 0.0043776, 1.05617, 1901.52, 1893.64, 2047, 512, Complete
NVS 5400M, striding, 2000, 0.70563, 0.00435078, 0.709981, 2834.34, 2816.98, 2047, 256, Complete
NVS 5400M, striding, 2000, 0.595378, 0.00432551, 0.599703, 3359.21, 3334.98, 2047, 128, Complete
