Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000243008, 0.000723872, 3.70358e+09, 1.24331e+09, 1023, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.00023424, 0.000654144, 3.84221e+09, 1.37584e+09, 1023, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000608576, 0.0010377, 1.47886e+09, 8.67306e+08, 1023, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000225952, 0.00066416, 3.98315e+09, 1.3551e+09, 1023, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000216288, 0.000614784, 4.16112e+09, 1.46393e+09, 1023, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000350304, 0.00075552, 2.5692e+09, 1.19123e+09, 1023, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000213536, 0.000608736, 4.21475e+09, 1.47847e+09, 1023, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000204224, 0.000860736, 4.40693e+09, 1.04562e+09, 1023, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000344704, 0.000768864, 2.61094e+09, 1.17056e+09, 1023, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000156736, 0.00057888, 5.74214e+09, 1.55473e+09, 1023, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000147872, 0.000555072, 6.08634e+09, 1.62141e+09, 1023, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000285536, 0.000699168, 3.15197e+09, 1.28724e+09, 1023, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000116768, 0.000511168, 7.70759e+09, 1.76067e+09, 1023, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000108032, 0.000508992, 8.33087e+09, 1.7682e+09, 1023, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000208032, 0.000620512, 4.32626e+09, 1.45042e+09, 1023, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 9.5136e-05, 0.000890336, 9.46014e+09, 1.01085e+09, 1023, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 8.6688e-05, 0.000495296, 1.03821e+10, 1.8171e+09, 1023, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000209568, 0.000620096, 4.29455e+09, 1.45139e+09, 1023, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.7232e-05, 0.000471264, 1.33865e+10, 1.90976e+09, 1023, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.8688e-05, 0.000465472, 1.53353e+10, 1.93352e+09, 1023, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000140064, 0.000541472, 6.42563e+09, 1.66214e+09, 1023, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.912e-05, 0.000446336, 1.83225e+10, 2.01642e+09, 1023, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.0704e-05, 0.000440128, 2.21108e+10, 2.04486e+09, 1023, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144576, 0.000831072, 6.2251e+09, 1.08294e+09, 1023, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000137088, 0.00053472, 6.56513e+09, 1.68312e+09, 511, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.00012992, 0.000531392, 6.92734e+09, 1.69366e+09, 511, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000272704, 0.00067504, 3.30028e+09, 1.33325e+09, 511, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000131072, 0.000529184, 6.86646e+09, 1.70073e+09, 511, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000123584, 0.00052352, 7.2825e+09, 1.71913e+09, 511, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000213568, 0.000622912, 4.21411e+09, 1.44483e+09, 511, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000124608, 0.000519136, 7.22265e+09, 1.73365e+09, 511, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000116608, 0.000521312, 7.71817e+09, 1.72641e+09, 511, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000210688, 0.000621344, 4.27172e+09, 1.44847e+09, 511, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 9.4176e-05, 0.000492224, 9.55658e+09, 1.82844e+09, 511, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 8.6976e-05, 0.000485184, 1.03477e+10, 1.85497e+09, 511, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000209632, 0.000615072, 4.29324e+09, 1.46324e+09, 511, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 7.3888e-05, 0.000468896, 1.21806e+10, 1.9194e+09, 511, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 6.6304e-05, 0.000465536, 1.35738e+10, 1.93326e+09, 511, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000203072, 0.000604544, 4.43193e+09, 1.48873e+09, 511, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.4288e-05, 0.00053296, 1.39995e+10, 1.68868e+09, 511, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.664e-05, 0.000462336, 1.58898e+10, 1.94664e+09, 511, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000144, 0.000626784, 6.25e+09, 1.4359e+09, 511, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.056e-05, 0.000445504, 1.78006e+10, 2.02018e+09, 511, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3136e-05, 0.000471136, 2.08642e+10, 1.91028e+09, 511, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00014336, 0.000545088, 6.2779e+09, 1.65111e+09, 511, 256, Complete
