Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.111411,0.130717,3.23E+08,2.75E+08,0.703779,0.599839,1,128, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0338636,0.0531896,1.06E+09,6.77E+08,2.31544,1.47414,3,128, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0145354,0.0338321,2.48E+09,1.06E+09,5.39436,2.31759,7,128, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00680592,0.026078,5.29E+09,1.38E+09,11.5207,3.00671,15,128, Complete,,,,128,256,384,512,640,768,896,1024
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00333366,0.0226793,1.08E+10,1.59E+09,23.5204,3.45729,31,128, Complete,,,1,0.703779,1.39502,2.30382,3.07299,3.82844,4.57271,5.32489,6.03027
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00168349,0.0210708,2.14E+10,1.71E+09,46.5753,3.72122,63,128, Complete,,,3,2.31544,4.60953,6.896,9.1638,11.3891,13.6121,15.8284,17.9311
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00095648,0.0202913,3.76E+10,1.77E+09,81.9766,3.86417,127,128, Complete,,,7,5.39436,10.7564,15.9979,21.2355,26.3508,31.352,36.3646,40.7993
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000959936,0.0202768,3.75E+10,1.78E+09,81.6815,3.86694,255,128, Complete,,,15,11.5207,22.6836,33.4747,43.8702,53.4017,62.2309,69.5885,75.8953
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0007712,0.0201501,4.67E+10,1.79E+09,101.671,3.89124,511,128, Complete,,,31,23.5204,45.5951,65.5138,80.2503,94.8692,64.0613,72.631,78.9955
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0007792,0.0201272,4.62E+10,1.79E+09,100.628,3.89567,1023,128, Complete,,,63,46.5753,80.7474,64.6683,80.9957,96.6275,81.8397,92.0985,100.504
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0562064,0.0755643,6.40E+08,4.76E+08,1.39502,1.03765,1,256, Complete,,,127,81.9766,80.2187,82.7211,101.891,96.9909,81.7251,91.2038,98.5157
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0170102,0.0363527,2.12E+09,9.90E+08,4.60953,2.1569,3,256, Complete,,,255,81.6815,102.304,94.3069,99.4998,95.5201,84.8876,94.5835,100.179
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0072895,0.0266005,4.94E+09,1.35E+09,10.7564,2.94765,7,256, Complete,,,511,101.671,99.0293,99.0613,102.172,96.521,81.294,89.9153,95.7515
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00345664,0.0228198,1.04E+10,1.58E+09,22.6836,3.436,15,256, Complete,,,1023,100.628,104.134,97.8078,99.4271,93.4722,77.6216,85.1413,89.6915
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00171968,0.0209957,2.09E+10,1.71E+09,45.5951,3.73452,31,256, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00097104,0.0202935,3.71E+10,1.77E+09,80.7474,3.86375,63,256, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00097744,0.0202917,3.68E+10,1.77E+09,80.2187,3.86409,127,256, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000766432,0.0204791,4.70E+10,1.76E+09,102.304,3.82873,255,256, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000791776,0.0201722,4.55E+10,1.78E+09,99.0293,3.88699,511,256, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00075296,0.0201086,4.78E+10,1.79E+09,104.134,3.89928,1023,256, Complete,,,,,,,,,,,
