Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000772864, 0.0154368, 3.4935e+10, 1.74906e+09, 76.4002, 3.82507, 1023, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000766432, 0.0154602, 3.52282e+10, 1.74642e+09, 77.0414, 3.8193, 1023, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00125178, 0.0158564, 2.15694e+10, 1.70278e+09, 47.1706, 3.72385, 1023, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000808736, 0.0154772, 3.33854e+10, 1.7445e+09, 73.0115, 3.81509, 1023, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00080064, 0.0154678, 3.3723e+10, 1.74556e+09, 73.7498, 3.81742, 1023, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000975456, 0.0156924, 2.76794e+10, 1.72057e+09, 60.5327, 3.76277, 1023, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.0008824, 0.0155303, 3.05984e+10, 1.73854e+09, 66.9164, 3.80205, 1023, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000872384, 0.0155141, 3.09497e+10, 1.74035e+09, 67.6846, 3.80601, 1023, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00103222, 0.0156721, 2.61571e+10, 1.72281e+09, 57.2037, 3.76766, 1023, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000714944, 0.0153258, 3.77652e+10, 1.76174e+09, 82.5897, 3.85279, 1023, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000703744, 0.015307, 3.83662e+10, 1.76389e+09, 83.9041, 3.85751, 1023, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000871968, 0.015535, 3.09644e+10, 1.73801e+09, 67.7169, 3.8009, 1023, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000658016, 0.0152405, 4.10324e+10, 1.7716e+09, 89.7349, 3.87435, 1023, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000647936, 0.0153276, 4.16708e+10, 1.76153e+09, 91.1309, 3.85234, 1023, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00076448, 0.0154015, 3.53181e+10, 1.75307e+09, 77.2381, 3.83384, 1023, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000670208, 0.0153194, 4.0286e+10, 1.76248e+09, 88.1025, 3.8544, 1023, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000661312, 0.015329, 4.08279e+10, 1.76136e+09, 89.2877, 3.85197, 1023, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00082544, 0.0154938, 3.27098e+10, 1.74263e+09, 71.534, 3.81101, 1023, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00062, 0.0152142, 4.35484e+10, 1.77466e+09, 95.2371, 3.88104, 1023, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00061264, 0.0152492, 4.40716e+10, 1.77058e+09, 96.3812, 3.87213, 1023, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000745504, 0.0153921, 3.62171e+10, 1.75415e+09, 79.2041, 3.8362, 1023, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000635904, 0.0152238, 4.24592e+10, 1.77353e+09, 92.8552, 3.87859, 1023, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000631616, 0.0152877, 4.27475e+10, 1.76612e+09, 93.4856, 3.86238, 1023, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000719168, 0.0153532, 3.75434e+10, 1.7586e+09, 82.1046, 3.84592, 1023, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000690688, 0.0152991, 3.90915e+10, 1.76481e+09, 85.4901, 3.8595, 511, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000685344, 0.0158341, 3.93963e+10, 1.70518e+09, 86.1567, 3.72909, 511, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000823008, 0.0154895, 3.28065e+10, 1.74311e+09, 71.7454, 3.81206, 511, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000730528, 0.0154174, 3.69596e+10, 1.75126e+09, 80.8278, 3.82988, 511, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000723616, 0.0154182, 3.73126e+10, 1.75117e+09, 81.5999, 3.82968, 511, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000870816, 0.0155393, 3.10054e+10, 1.73753e+09, 67.8065, 3.79985, 511, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000808352, 0.0154132, 3.34013e+10, 1.75175e+09, 73.0461, 3.83095, 511, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000802784, 0.0154451, 3.3633e+10, 1.74813e+09, 73.5528, 3.82304, 511, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000929056, 0.0155636, 2.90618e+10, 1.73482e+09, 63.5559, 3.79393, 511, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000681024, 0.0153127, 3.96462e+10, 1.76324e+09, 86.7033, 3.85608, 511, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00066464, 0.0152769, 4.06235e+10, 1.76737e+09, 88.8406, 3.86512, 511, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.00077072, 0.0154383, 3.50322e+10, 1.7489e+09, 76.6128, 3.82471, 511, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000634592, 0.0152284, 4.2547e+10, 1.77301e+09, 93.0472, 3.87744, 511, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000625952, 0.0152543, 4.31343e+10, 1.76999e+09, 94.3315, 3.87084, 511, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000727584, 0.0153364, 3.71091e+10, 1.76051e+09, 81.1549, 3.85011, 511, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000654592, 0.0153405, 4.12471e+10, 1.76005e+09, 90.2043, 3.8491, 511, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000650272, 0.0153289, 4.15211e+10, 1.76138e+09, 90.8035, 3.85201, 511, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000770208, 0.0155203, 3.50555e+10, 1.73966e+09, 76.6637, 3.8045, 511, 384, Complete
