Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000371264, 0.00456723, 1.93932e+10, 1.57645e+09, 42.3122, 3.4395, 1023, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000362496, 0.00451958, 1.98623e+10, 1.59307e+09, 43.3357, 3.47576, 1023, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00085808, 0.00505667, 8.39083e+09, 1.42386e+09, 18.3071, 3.10659, 1023, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00037216, 0.00452464, 1.93465e+10, 1.59129e+09, 42.2103, 3.47188, 1023, 992, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000363168, 0.00452195, 1.98255e+10, 1.59223e+09, 43.2555, 3.47394, 1023, 992, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000566848, 0.00474317, 1.27018e+10, 1.51797e+09, 27.7129, 3.31192, 1023, 992, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000370464, 0.00452205, 1.94351e+10, 1.5922e+09, 42.4036, 3.47387, 1023, 960, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000362528, 0.00452637, 1.98605e+10, 1.59068e+09, 43.3318, 3.47055, 1023, 960, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000525376, 0.00469469, 1.37045e+10, 1.53365e+09, 29.9005, 3.34612, 1023, 960, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000370688, 0.00454106, 1.94233e+10, 1.58553e+09, 42.378, 3.45933, 1023, 928, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00036192, 0.00451376, 1.98939e+10, 1.59512e+09, 43.4046, 3.48025, 1023, 928, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000513408, 0.00469251, 1.40239e+10, 1.53436e+09, 30.5975, 3.34767, 1023, 928, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000367776, 0.00454643, 1.95771e+10, 1.58366e+09, 42.7135, 3.45524, 1023, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00035936, 0.0045145, 2.00356e+10, 1.59486e+09, 43.7138, 3.47968, 1023, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000509952, 0.00468291, 1.4119e+10, 1.5375e+09, 30.8049, 3.35454, 1023, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000369664, 0.0045249, 1.94771e+10, 1.5912e+09, 42.4953, 3.47168, 1023, 864, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000360864, 0.00452006, 1.99521e+10, 1.5929e+09, 43.5316, 3.47539, 1023, 864, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000500736, 0.00468266, 1.43788e+10, 1.53759e+09, 31.3718, 3.35472, 1023, 864, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000369888, 0.00455462, 1.94654e+10, 1.58081e+09, 42.4696, 3.44902, 1023, 832, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000361248, 0.00451526, 1.99309e+10, 1.59459e+09, 43.4854, 3.47909, 1023, 832, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00049936, 0.0046689, 1.44185e+10, 1.54212e+09, 31.4583, 3.36461, 1023, 832, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000371264, 0.00452963, 1.93932e+10, 1.58953e+09, 42.3122, 3.46805, 1023, 800, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000361408, 0.00452083, 1.99221e+10, 1.59263e+09, 43.4661, 3.4748, 1023, 800, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000496992, 0.00466272, 1.44872e+10, 1.54416e+09, 31.6082, 3.36906, 1023, 800, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00036912, 0.00453894, 1.95059e+10, 1.58627e+09, 42.558, 3.46094, 1023, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000360352, 0.00451405, 1.99805e+10, 1.59502e+09, 43.5935, 3.48003, 1023, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000496736, 0.00467798, 1.44946e+10, 1.53912e+09, 31.6244, 3.35807, 1023, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000372448, 0.00452307, 1.93316e+10, 1.59184e+09, 42.1777, 3.47308, 1023, 736, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000363488, 0.00452694, 1.98081e+10, 1.59048e+09, 43.2174, 3.47011, 1023, 736, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000493664, 0.0046657, 1.45848e+10, 1.54318e+09, 31.8212, 3.36691, 1023, 736, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000375648, 0.00461757, 1.91669e+10, 1.55926e+09, 41.8184, 3.40201, 1023, 704, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000366496, 0.0045535, 1.96455e+10, 1.5812e+09, 42.8627, 3.44987, 1023, 704, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000495264, 0.00469584, 1.45377e+10, 1.53327e+09, 31.7184, 3.3453, 1023, 704, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000283744, 0.00445146, 2.5375e+10, 1.61745e+09, 55.3633, 3.52896, 1023, 672, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000274976, 0.00446493, 2.61841e+10, 1.61257e+09, 57.1286, 3.51831, 1023, 672, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.0004296, 0.00465171, 1.67598e+10, 1.54782e+09, 36.5666, 3.37704, 1023, 672, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000283392, 0.00448333, 2.54065e+10, 1.60595e+09, 55.4321, 3.50387, 1023, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000274272, 0.00446099, 2.62513e+10, 1.61399e+09, 57.2753, 3.52141, 1023, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000442816, 0.00463245, 1.62596e+10, 1.55425e+09, 35.4752, 3.39108, 1023, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000288352, 0.00446682, 2.49695e+10, 1.61189e+09, 54.4785, 3.51682, 1023, 608, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000279104, 0.0044697, 2.57968e+10, 1.61085e+09, 56.2837, 3.51456, 1023, 608, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00044384, 0.00465216, 1.62221e+10, 1.54767e+09, 35.3934, 3.37671, 1023, 608, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000292448, 0.00449882, 2.46198e+10, 1.60042e+09, 53.7155, 3.49181, 1023, 576, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000283392, 0.00447027, 2.54065e+10, 1.61064e+09, 55.4321, 3.5141, 1023, 576, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000439872, 0.0046161, 1.63684e+10, 1.55976e+09, 35.7127, 3.40309, 1023, 576, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00029584, 0.00446054, 2.43375e+10, 1.61415e+09, 53.0996, 3.52177, 1023, 544, Complete
