%time,field.O_x,field.O_y,field.O_t,field.I_t,field.Co_I_t,field.G_x,field.G_y,field.Co_gps_x,field.Co_gps_y
1,-1.9512e-65,0,0.001225,8.82147e-199,2.96439e-322,-1.89933e-65,0,0,0
2,1.30766,-0.45244,0.475461,0.271451,0.001225,1.2801,-0.524437,0.0001,0.0004
3,1.30766,-0.45244,0.475461,0.271271,0.001225,1.2801,-0.524437,0.0001,0.0004
4,1.30766,-0.45244,0.475461,0.27122,0.001225,1.2801,-0.524437,0.0001,0.0004
5,1.30766,-0.45244,0.475461,0.271236,0.001225,1.28228,-0.523826,0.0001,0.0004
6,1.30766,-0.45244,0.475461,0.271173,0.001225,1.28375,-0.523414,0.0001,0.0004
7,1.30766,-0.45244,0.475461,0.27128,0.001225,1.28375,-0.523414,0.0001,0.0004
8,1.30766,-0.45244,0.475461,0.271044,0.001225,1.28375,-0.523414,0.0001,0.0004
9,1.30766,-0.45244,0.475461,0.271115,0.001225,1.28375,-0.523414,0.0001,0.0004
10,1.30766,-0.45244,0.475461,0.271108,0.001225,1.28375,-0.523414,0.0001,0.0004
11,1.30766,-0.45244,0.475461,0.271113,0.001225,1.28375,-0.523414,0.0001,0.0004
12,1.30766,-0.45244,0.475461,0.271109,0.001225,1.28375,-0.523414,0.0001,0.0004
13,1.30766,-0.45244,0.475461,0.270982,0.001225,1.28375,-0.523414,0.0001,0.0004
14,1.30766,-0.45244,0.475461,0.27106,0.001225,1.28276,-0.522967,0.0001,0.0004
15,1.30766,-0.45244,0.475461,0.271059,0.001225,1.28182,-0.522542,0.0001,0.0004
16,1.30766,-0.45244,0.475461,0.271212,0.001225,1.28182,-0.522542,0.0001,0.0004
17,1.30766,-0.45244,0.475461,0.271314,0.001225,1.28182,-0.522542,0.0001,0.0004
18,1.30766,-0.45244,0.475461,0.271466,0.001225,1.28182,-0.522542,0.0001,0.0004
19,1.30766,-0.45244,0.475461,0.271642,0.001225,1.28182,-0.522542,0.0001,0.0004
20,1.30766,-0.45244,0.475461,0.271556,0.001225,1.28182,-0.522542,0.0001,0.0004
21,1.30766,-0.45244,0.475461,0.271584,0.001225,1.28182,-0.522542,0.0001,0.0004
22,1.30766,-0.45244,0.475461,0.271476,0.001225,1.28182,-0.522542,0.0001,0.0004
23,1.30766,-0.45244,0.475461,0.271568,0.001225,1.28089,-0.521252,0.0004,0.0004
24,1.30766,-0.45244,0.475461,0.271586,0.001225,1.27962,-0.519478,0.0004,0.0004
25,1.30766,-0.45244,0.475461,0.271668,0.001225,1.27962,-0.519478,0.0004,0.0004
26,1.30766,-0.45244,0.475461,0.271593,0.001225,1.27962,-0.519478,0.0004,0.0004
27,1.30766,-0.45244,0.475461,0.271456,0.001225,1.27962,-0.519478,0.0004,0.0004
28,1.30766,-0.45244,0.475461,0.271503,0.001225,1.27962,-0.519478,0.0004,0.0004
29,1.30766,-0.45244,0.475461,0.271185,0.001225,1.27962,-0.519478,0.0004,0.0004
30,1.30766,-0.45244,0.475461,0.271191,0.001225,1.27962,-0.519478,0.0004,0.0004
31,1.30766,-0.45244,0.475461,0.271187,0.001225,1.27962,-0.519478,0.0004,0.0004
32,1.30766,-0.45244,0.475461,0.271289,0.001225,1.28004,-0.526228,0.0004,0.0004
33,1.30766,-0.45244,0.475461,0.271232,0.001225,1.28088,-0.539803,0.0004,0.0004
34,1.30766,-0.45244,0.475461,0.271326,0.001225,1.28088,-0.539803,0.0004,0.0004
35,1.30766,-0.45244,0.475461,0.271212,0.001225,1.28088,-0.539803,0.0004,0.0004
36,1.30766,-0.45244,0.475461,0.271174,0.001225,1.28088,-0.539803,0.0004,0.0004
37,1.30766,-0.45244,0.475461,0.271155,0.001225,1.28088,-0.539803,0.0004,0.0004
38,1.30766,-0.45244,0.475461,0.27107,0.001225,1.28088,-0.539803,0.0004,0.0004
39,1.30766,-0.45244,0.475461,0.270857,0.001225,1.28088,-0.539803,0.0004,0.0004
40,1.30766,-0.45244,0.475461,0.270852,0.001225,1.28088,-0.539803,0.0004,0.0004
41,1.30766,-0.45244,0.475461,0.270753,0.001225,1.28031,-0.536968,0.0004,0.0004
42,1.30766,-0.45244,0.475461,0.270736,0.001225,1.27847,-0.527715,0.0004,0.0004
43,1.30766,-0.45244,0.475461,0.270889,0.001225,1.27847,-0.527715,0.0004,0.0004
44,1.30766,-0.45244,0.475461,0.270954,0.001225,1.27847,-0.527715,0.0004,0.0004
45,1.30766,-0.45244,0.475461,0.27076,0.001225,1.27847,-0.527715,0.0004,0.0004
46,1.30766,-0.45244,0.475461,0.270707,0.001225,1.27847,-0.527715,0.0004,0.0004
47,1.30766,-0.45244,0.475461,0.27032,0.001225,1.27847,-0.527715,0.0004,0.0004
48,1.30766,-0.45244,0.475461,0.270359,0.001225,1.27847,-0.527715,0.0004,0.0004
49,1.30766,-0.45244,0.475461,0.270372,0.001225,1.27847,-0.527715,0.0004,0.0004
50,1.30766,-0.45244,0.475461,0.270511,0.001225,1.27885,-0.527647,0.0004,0.0004
51,1.30766,-0.45244,0.475461,0.270557,0.001225,1.27907,-0.527609,0.0004,0.0004
52,1.30766,-0.45244,0.475461,0.270643,0.001225,1.27907,-0.527609,0.0004,0.0004
53,1.30766,-0.45244,0.475461,0.270628,0.001225,1.27907,-0.527609,0.0004,0.0004
54,1.30766,-0.45244,0.475461,0.27047,0.001225,1.27907,-0.527609,0.0004,0.0004
