MaterialID,MaterialName,UOM
1010,Ard D 14 Type 1 Tile Adhesive,GAL
1020,Ard AF 207 Rapid Set Bonding,GAL
1030,Henry 440 Bulk,GAL
1040,Henry 440 Cove Base,TUBE
1050,Henry 356C Multi,GAL
1060,Chapco Moisture Defender,GAL
1070,Ceramic Tile,SQFT
1080,Porcelain Tile,SQFT
1090,Mosaic/Stained Glass,SQFT
1100,Granite,SQFT
1110,Hardie Backer,SHEET
1120,Underlayment Screws,SHEET
1130,Standard Install Supply Pack,EA
1140,ProTex Concrete Backer,SQFT
1150,"Grout, Water based, additives",LB
1160,"Grout, Epoxy",LB
1170,Tile and Stone sealant,QT
2000,Misc Material,EA
