length	gender
93.0	female
97.0	female
92.0	female
101.6	female
93.0	female
84.5	female
102.5	female
97.8	female
91.0	female
98.0	female
93.5	female
91.7	female
90.2	female
91.5	female
80.0	female
86.4	female
91.4	female
83.5	female
88.0	female
71.0	female
81.3	female
88.5	female
86.5	female
90.0	female
84.0	female
89.5	female
84.0	female
85.0	female
87.0	female
88.0	female
86.5	female
96.0	female
87.0	female
93.5	female
93.5	female
90.0	female
85.0	female
97.0	female
86.0	female
73.7	female
97.0	male
95.0	male
96.0	male
91.0	male
95.0	male
84.5	male
88.0	male
96.0	male
96.0	male
87.0	male
95.0	male
100.0	male
101.0	male
96.0	male
93.0	male
92.5	male
95.0	male
98.5	male
88.0	male
81.3	male
91.4	male
88.9	male
86.4	male
101.6	male
83.8	male
104.1	male
88.9	male
92.0	male
91.0	male
90.0	male
85.0	male
93.5	male
78.0	male
100.5	male
103.0	male
91.0	male
105.0	male
86.0	male
95.5	male
86.5	male
90.5	male
80.0	male
80.0	male
