Period	Subject	Opponent	P1	P2	R1	R2
1	4	6	0	0	3	0
1	1	15	0	0	3	0
1	5	12	0	0	1	1
1	7	10	0	0	1	1
1	2	18	0	0	3	0
1	8	11	0	0	0	3
1	3	19	0	0	1	1
1	9	20	0	0	3	0
1	13	17	0	0	3	0
1	14	16	0	0	1	1
2	3	6	1	0	1	1
2	4	11	3	3	3	0
2	2	15	3	0	3	0
2	1	17	3	0	0	3
2	5	13	1	3	3	0
2	10	12	1	1	3	0
2	9	14	3	1	3	0
2	7	20	1	0	3	0
2	8	19	0	1	3	0
2	16	18	1	0	1	1
3	1	5	3	4	3	0
3	2	9	6	6	0	3
3	5	6	4	1	0	3
3	4	8	6	3	3	0
3	11	3	3	2	0	3
3	3	13	2	3	0	3
3	7	14	4	1	1	1
3	10	16	4	2	3	0
3	18	13	1	3	1	1
3	12	20	1	0	3	0
3	15	19	0	1	0	3
3	17	19	3	1	0	3
4	2	5	6	4	1	1
4	3	4	2	9	1	1
4	1	10	6	7	0	3
4	6	8	4	3	1	1
4	7	9	5	9	1	1
4	11	15	3	0	0	3
4	12	14	4	2	3	0
4	17	15	3	0	3	0
4	16	20	2	0	1	1
4	18	19	2	4	0	3
5	1	9	6	10	3	0
5	2	10	7	10	1	1
5	4	15	10	3	3	0
5	18	4	2	10	3	0
5	9	12	10	7	0	3
5	7	16	6	3	1	1
5	8	17	4	6	1	1
5	6	20	5	1	3	0
5	11	14	3	2	1	1
5	13	14	7	2	3	0
6	4	5	13	5	3	0
6	3	8	6	5	0	3
6	1	14	9	3	3	0
6	7	12	7	10	0	3
6	2	20	8	1	3	0
6	6	15	8	3	3	0
6	5	19	5	10	3	0
6	10	13	11	10	0	3
6	9	16	10	4	0	3
6	18	8	5	5	0	3
6	11	20	4	1	0	3
6	17	18	7	5	1	1
7	1	7	12	7	1	1
7	6	7	11	7	1	1
7	2	12	11	13	3	0
7	3	16	6	7	1	1
7	17	3	8	6	3	0
7	11	17	4	8	3	0
7	10	19	11	10	1	1
7	13	20	13	1	1	1
8	2	7	14	8	1	1
8	4	10	16	12	3	0
8	5	11	8	7	3	0
8	6	10	12	12	3	0
8	1	20	13	4	3	0
8	9	13	10	14	3	0
8	8	15	11	3	0	3
8	12	16	13	8	0	3
8	14	19	3	11	1	1
8	18	15	6	3	3	0
9	5	8	11	11	0	3
9	2	16	15	11	3	0
9	3	15	7	6	0	3
9	1	18	16	9	3	0
9	4	14	19	4	1	1
9	11	7	7	9	3	0
9	6	14	15	4	0	3
9	17	5	11	11	0	3
9	12	13	13	14	0	3
9	9	19	13	12	3	0
10	1	2	19	18	1	1
10	3	5	7	11	0	3
10	4	12	20	13	3	0
10	8	9	14	16	0	3
10	7	13	10	17	3	0
10	10	11	12	10	1	1
10	6	16	15	11	3	0
10	18	6	9	15	0	3
10	14	17	7	11	0	3
10	19	20	12	5	3	0
11	4	2	23	19	3	0
11	1	12	20	13	3	0
11	6	9	18	19	3	0
11	2	19	19	15	1	1
11	3	18	7	9	3	0
11	11	9	11	19	3	0
11	10	15	13	9	0	3
11	8	20	14	5	3	0
11	13	16	17	11	1	1
11	17	20	14	5	1	1
12	2	13	20	18	3	0
12	1	16	23	12	3	0
12	3	14	10	8	0	3
12	8	10	17	13	1	1
12	5	15	17	12	1	1
12	18	5	9	17	3	0
12	4	20	26	5	1	1
12	11	12	14	13	1	1
12	7	19	13	16	0	3
12	9	17	19	15	1	1
13	4	7	27	13	3	0
13	11	2	15	23	3	0
