P1	P2	R1	R2	Amount
0	0	2	0	300
0	0	2	0	100
0	0	1	1	0
0	0	1	1	0
0	0	0	2	400
2	0	1	1	200
0	1	2	0	0
2	1	2	0	0
1	2	2	0	100
1	0	1	1	0
3	1	2	0	0
2	2	1	1	0
4	1	1	1	0
3	2	1	1	0
1	1	0	2	1000
5	1	1	1	0
3	3	2	0	250
5	4	1	1	0
2	3	0	2	400
3	1	1	1	0
6	4	0	2	0
5	6	0	2	300
5	5	1	1	0
3	2	0	2	0
2	2	0	2	400
6	2	2	0	0
5	6	1	1	0
8	4	1	1	0
6	4	2	0	1000
3	6	2	0	0
8	5	2	0	200
6	4	0	2	300
9	6	0	2	0
8	2	0	2	0
5	7	1	1	0
10	8	1	1	0
6	4	1	1	0
9	5	2	0	200
8	8	0	2	0
6	6	0	2	0
11	11	1	1	0
7	9	0	2	0
5	10	0	2	250
5	8	0	2	400
8	6	1	1	0
12	7	2	0	400
12	12	2	0	225
11	10	0	2	800
5	7	0	2	125
5	9	1	1	0
14	12	2	0	0
7	12	1	1	0
14	9	1	1	0
11	10	2	0	0
5	6	1	1	0
16	13	2	0	400
8	10	0	2	0
15	7	2	0	300
13	6	1	1	0
10	12	2	0	100
18	12	1	1	0
8	7	0	2	0
17	14	1	1	0
7	12	0	2	200
12	13	1	1	0
19	13	1	1	0
8	18	0	2	400
15	14	2	0	0
9	14	0	2	175
7	13	0	2	300
20	7	2	0	400
8	14	2	0	0
20	16	1	1	0
17	15	0	2	0
9	14	1	1	0
22	10	2	0	200
10	17	1	1	0
21	15	1	1	0
17	7	2	0	400
17	14	1	1	0
24	19	1	1	0
11	7	2	0	150
22	10	2	0	275
16	15	1	1	0
18	18	2	0	600
25	24	1	1	0
13	20	0	2	400
10	16	0	2	100
7	18	0	2	200
17	20	1	1	0
0	0	1	1	200
0	0	2	0	0
0	0	1	1	50
0	0	1	1	200
0	0	0	2	0
1	0	1	1	250
1	1	0	2	200
2	1	0	2	400
1	2	2	0	0
1	0	1	1	800
2	3	1	1	200
1	2	0	2	0
2	1	0	2	600
3	2	1	1	0
3	1	1	1	200
3	4	2	0	0
1	3	0	2	500
2	4	0	2	0
3	2	1	1	0
4	4	2	0	0
5	6	0	2	0
1	2	2	0	600
6	3	1	1	0
5	4	2	0	0
4	4	2	0	0
5	6	1	1	0
3	4	1	1	200
2	4	0	2	700
7	4	1	1	0
7	8	0	2	0
6	7	1	1	0
4	5	0	2	400
2	10	1	1	0
8	7	1	1	50
6	5	1	1	150
7	9	1	1	0
4	8	1	1	0
3	8	0	2	700
11	6	2	0	0
7	7	1	1	0
8	3	2	0	700
5	10	0	2	300
10	6	0	2	0
9	8	0	2	350
13	8	0	2	0
10	5	1	1	200
3	8	0	2	0
12	10	1	1	0
10	10	1	1	800
9	13	0	2	0
11	10	1	1	150
6	11	0	2	400
3	11	1	1	0
13	15	2	0	0
11	9	0	2	0
12	13	2	0	700
6	15	0	2	0
4	11	0	2	400
15	11	1	1	0
12	11	1	1	0
14	13	1	1	0
6	12	0	2	400
4	16	0	2	400
13	12	0	2	450
17	13	0	2	0
15	17	0	2	0
6	4	2	0	0
18	14	0	2	0
14	15	0	2	0
13	14	1	1	0
15	14	1	1	0
8	16	0	2	400
4	17	0	2	400
18	15	1	1	0
14	19	1	1	0
16	15	1	1	0
8	16	0	2	0
4	20	0	2	0
19	15	1	1	0
19	18	0	2	0
17	20	1	1	0
8	16	0	2	250
4	16	0	2	300
22	20	1	1	0
18	19	1	1	0
18	4	2	0	200
8	21	0	2	400
18	21	0	2	600
18	20	2	0	0
23	19	1	1	0
0	0	1	1	0
0	0	2	0	200
0	0	2	0	200
0	0	0	2	0
0	0	2	0	225
1	0	2	0	300
1	0	2	0	300
2	2	2	0	0
2	0	2	0	250
0	2	0	2	0
3	0	2	0	300
3	0	2	0	250
4	4	2	0	0
4	0	1	1	100
2	0	0	2	0
5	2	2	0	375
5	1	0	2	0
6	5	1	1	0
4	2	2	0	200
0	0	0	2	100
7	0	2	0	375
5	7	1	1	0
6	2	1	1	0
3	2	1	1	0
6	2	1	1	0
9	7	1	1	0
6	3	2	0	250
8	3	0	2	0
7	3	0	2	0
4	0	1	1	100
10	5	1	1	0
8	5	2	0	0
8	1	1	1	0
7	8	1	1	0
5	3	1	1	0
11	8	1	1	0
10	9	2	0	0
9	6	1	1	0
2	4	0	2	0
5	6	0	2	0
12	10	0	2	450
12	9	0	2	900
7	6	1	1	0
9	8	2	0	475
2	5	0	2	100
12	12	0	2	0
12	7	2	0	200
11	8	0	2	0
8	7	1	1	0
11	2	2	0	375
12	7	2	0	200
14	10	2	0	400
14	8	1	1	200
11	2	1	1	0
9	13	1	1	0
14	10	2	0	400
16	3	2	0	0
15	14	0	2	0
12	10	0	2	0
9	7	0	2	0
16	9	2	0	300
18	12	1	1	0
15	12	0	2	0
16	9	2	0	500
3	10	0	2	225
18	3	0	2	0
19	15	2	0	0
14	9	2	0	200
13	12	0	2	0
18	9	2	0	0
18	20	0	2	0
21	9	2	0	450
15	14	2	0	450
16	9	2	0	0
13	5	2	0	150
18	15	1	1	0
23	9	2	0	1000
17	5	2	0	250
18	22	1	1	5
14	9	0	2	0
19	19	1	1	0
25	23	1	1	0
19	16	1	1	0
5	11	0	2	0
9	14	2	0	0
20	20	1	1	0
26	20	2	0	0
17	13	1	1	0
24	14	2	0	0
5	11	2	0	0
