State,BLM_Acres,Other_Acres,Total_Acres,Herd_Management_Areas,Herd_Areas,HMAs_at_Appropriate_Management_Level,Horses,Burros,Total_Animals,Total AML
AZ,2019932,1617998,3637930,7,11,2,390,1967,2357,1676
CA,4810248,1813228,6623476,22,38,7,4057,895,4952,2201
CO,658119,76572,734691,4,8,3,772,0,772,812
ID,428421,49235,477656,6,9,2,913,0,913,617
MT,104361,119242,223603,1,7,0,195,0,195,105
NV,19076183,3073205,22149388,85,154,40,16642,819,17461,12688
NM,88653,37874,126527,2,4,1,114,0,114,83
OR,3565790,773754,4339544,18,38,11,2508,15,2523,2715
UT,3150220,676855,3827075,19,29,8,2495,142,2637,1956
WY,6389094,2786158,9175252,16,41,4,5016,0,5016,3725
